"Nomor Registrasi","Nama Produk","Komposisi","Bentuk Sediaan","Kemasan","Pendaftar","Perusahaan","Negara_Asal","Tanggal Terbit","Masa Berlaku s/d","Status","Kategori_Obat","Golongan_Obat","Asal_Obat","Jumlah_Zat_Aktif","Durasi_Registrasi_Tahun","Sudah_Kedaluwarsa","Sisa_Hari_Berlaku","List_Zat_Aktif","Jumlah_Varian_Kemasan","Komposisi_Normalized","drug_category","all_drug_categories","raw_mapped_categories","unsupported_drug_categories","drug_category_match_status","drug_category_is_supported","drug_category_source"
"DKL0333509843A1","NOTRIXUM","ATRACURIUM BESILATE","INJEKSI","DUS, 5 AMPUL @ 2,5 ML ;; DUS, 5 AMPUL @ 5 ML","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2026-04-29","2031-04-29","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1807","['ATRACURIUM BESILATE']","2","ATRACURIUM BESILATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DTL2234015237A1","NOVACOLIN","PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE","SIRUP; 120 MG /7.5 MG /1 MG","DUS, 1 BOTOL PLASTIK @ 60 ML","NOVAPHARIN - Indonesia","NOVAPHARIN","Indonesia","2024-04-01","2029-04-01","Berlaku","Obat Bebas Terbatas - Lokal","Obat Bebas Terbatas","Lokal/Lainnya","1","5.0","False","1049","['PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE']","1","PARACETAMOL. PSEUDOEPHEDRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DTL2034013310A1","NOVADRYL","CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE","TABLET; 2 mg /10 mg","DUS, 10 STRIP @ 10 TABLET","NOVAPHARIN - Indonesia","NOVAPHARIN","Indonesia","2021-04-01","2026-04-01","Berlaku","Obat Bebas Terbatas - Lokal","Obat Bebas Terbatas","Lokal/Lainnya","1","5.0","True","-47","['CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE']","1","CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DTL1934013204A1","NOVAGRIP","CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | PARACETAMOL","KAPLET","DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET ;; DUS, 10 STRIP @ 10 KAPLET","NOVAPHARIN - Indonesia","NOVAPHARIN","Indonesia","2025-11-02","2030-09-27","Berlaku","Obat Bebas Terbatas - Lokal","Obat Bebas Terbatas","Lokal/Lainnya","3","4.9","False","1593","['CHLORPHENAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'PARACETAMOL']","2","CHLORPHENAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | PARACETAMOL","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL0234000209A1","NOVAPYRON","CYANOCOBALAMIN. METAMIZOLE SODIUM. PYRIDOXINE HYDROCHLORIDE. THIAMINE HYDROCHLORIDE","KAPLET SALUT SELAPUT; 100 mcg /500.00 MG /100.00 mg /50.00 mg","DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT","NOVAPHARIN - Indonesia","NOVAPHARIN","Indonesia","2020-11-18","2025-08-04","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","4.7","True","-287","['CYANOCOBALAMIN. METAMIZOLE SODIUM. PYRIDOXINE HYDROCHLORIDE. THIAMINE HYDROCHLORIDE']","1","CYANOCOBALAMIN. METAMIZOLE SODIUM. PYRIDOXINE HYDROCHLORIDE. THIAMINE HYDROCHLORIDE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DTL2234015304A1","NOVATUSIN","PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. CHLORPHENAMINE MALEATE","KAPLET; 500 MG /15 MG /15 MG /2 MG","DUS, 10 AMPLOP @1 STRIP @ 10 KAPLET","NOVAPHARIN - Indonesia","NOVAPHARIN","Indonesia","2024-07-18","2029-07-18","Berlaku","Obat Bebas Terbatas - Lokal","Obat Bebas Terbatas","Lokal/Lainnya","1","5.0","False","1157","['PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. CHLORPHENAMINE MALEATE']","1","PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. DEXTROMETHORPHAN HYDROBROMIDE. CHLORPHENAMINE MALEATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2302908336A1","NOVEL ORAL POLIOMYELITIS VACCINE TYPE 2 (NOPV2)","LIVE ATTENUATED POLIOMYELITIS VIRUS TYPE 2 (MODIFIED SABIN STRAIN)","DROPS","DUS, 10 VIAL @ 2 ML (20 DOSIS) + DUS, 10 PENETES ;; DUS, 10 VIAL @ 5 ML (50 DOSIS) + DUS, 10 PENETES","BIO FARMA - Indonesia","BIO FARMA","Indonesia","2026-02-12","2030-05-19","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","4.3","False","1462","['LIVE ATTENUATED POLIOMYELITIS VIRUS TYPE 2 (MODIFIED SABIN STRAIN)']","2","LIVE ATTENUATED POLIOMYELITIS VIRUS TYPE 2 MODIFIED SABIN STRAIN","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2133553417A1","NOVENYL","NOMEGESTROL ACETATE","TABLET SALUT SELAPUT; 5 MG","DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2022-07-01","2026-12-10","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","4.4","False","206","['NOMEGESTROL ACETATE']","1","NOMEGESTROL ACETATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL1333528301A1","NOVEXIB","CELECOXIB","KAPSUL","DUS, 3 STRIP @ 10 KAPSUL","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2025-12-21","2030-12-21","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1678","['CELECOXIB']","1","CELECOXIB","nsaid","nsaid","nsaid","","matched_supported","1","drug_name_complete_category_lookup.csv"
"DKI2064604944C1","NOVOEIGHT","TUROCTOCOG ALFA","SERBUK INJEKSI + PELARUT","DUS, 1 VIAL @ 1000 IU + 1 PRE-FILLED SYRINGE PELARUT @ 4 ML + 1 VIAL ADAPTER + 1 PLUNGER ROD ;; DUS, 1 VIAL @ 1000 IU + 1 PRE-FILLED SYRINGE PELARUT @ 4 ML + 1 STERILE VIAL ADAPTER + 1 PLUNGER ROD","BETA PHARMACON - Indonesia","BETA PHARMACON","Indonesia","2025-03-13","2030-03-13","Berlaku","Obat Keras - Impor","Obat Keras","Impor","1","5.0","False","1395","['TUROCTOCOG ALFA']","2","TUROCTOCOG ALFA","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL1333529543A1","NOVORIN","CALCIUM FOLINATE","INJEKSI","DUS, 1 VIAL @ 5 ML","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2025-11-28","2030-11-28","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","1655","['CALCIUM FOLINATE']","1","CALCIUM FOLINATE","UNKNOWN","","","","unmatched","0","drug_name_complete_category_lookup.csv"
"DKL2233555630A1","NOVOVENT-S","BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT","SALEP; 10 mg /1,250 mg /7,5 mg /0,5 mg /0,1 mg","DUS, 1 TUBE @ 15 GRAM","NOVELL PHARMACEUTICAL LABORATORIES - Indonesia","NOVELL PHARMACEUTICAL LABORATORIES","Indonesia","2022-11-02","2027-11-02","Berlaku","Obat Keras - Lokal","Obat Keras","Lokal/Lainnya","1","5.0","False","533","['BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT']","1","BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT","kortikosteroid","kortikosteroid","kortikosteroid","","matched_supported","1","drug_name_complete_category_lookup.csv"
