Nomor Registrasi,Nama Produk,Komposisi,Bentuk Sediaan,Kemasan,Pendaftar,Perusahaan,Negara_Asal,Tanggal Terbit,Masa Berlaku s/d,Status,Kategori_Obat,Golongan_Obat,Asal_Obat,Jumlah_Zat_Aktif,Durasi_Registrasi_Tahun,Sudah_Kedaluwarsa,Sisa_Hari_Berlaku,List_Zat_Aktif,Jumlah_Varian_Kemasan,Komposisi_Normalized
DTL0304518837A1,VICKS FORMULA 44,DEXTROMETHORPHAN HYDROBROMIDE. DOXYLAMINE SUCCINATE,SIRUP; 5 MG /2 MG,"DUS, 1 BOTOL PLASTIK @ 100 ML ;; DUS, 1 BOTOL PLASTIK @ 27 ML ;; DUS, 1 BOTOL PLASTIK @ 54 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2023-09-12,2028-05-04,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,1,4.6,False,699,['DEXTROMETHORPHAN HYDROBROMIDE. DOXYLAMINE SUCCINATE'],3,DEXTROMETHORPHAN HYDROBROMIDE. DOXYLAMINE SUCCINATE
DTL0704519837A1,VICKS FORMULA 44 ANAK-ANAK (RASA STRAWBERRY),DEXTROMETHORPHAN HYDROBROMIDE. GUAIFENESIN,SIRUP; 3.5 MG /50 MG,"DUS, 1 BOTOL PLASTIK @ 27 ML ;; DUS, 1 BOTOL PLASTIK @ 54 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2024-09-01,2029-09-01,Berlaku,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,Lokal/Lainnya,1,5.0,False,1184,['DEXTROMETHORPHAN HYDROBROMIDE. GUAIFENESIN'],2,DEXTROMETHORPHAN HYDROBROMIDE. GUAIFENESIN
LKE17045024,VICKS FORMULA 44 COUGH CONTROL,DEXTROMETHORPHAN HYDROBROMIDE,SIRUP; 15.0 mg,"DUS, 1 BOTOL PLASTIK @ 54 ML ;; DUS, 1 BOTOL PLASTIK @ 100 ML",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2021-12-25,2026-12-25,Berlaku (Khusus Ekspor),Lisensi - Khusus Ekspor,Khusus Ekspor,Lokal/Lainnya,1,5.0,False,203,['DEXTROMETHORPHAN HYDROBROMIDE'],2,DEXTROMETHORPHAN HYDROBROMIDE
DKL2232303228A1,VIDERMA,NEOMYCIN SULFATE. PLACENTA EXTRACT,GEL; 5 MG /100 MG,"DUS, 1 TUBE @ 15 GRAM",KIMIA FARMA Tbk. - Indonesia,KIMIA FARMA Tbk.,Indonesia,2022-02-08,2027-02-08,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,248,['NEOMYCIN SULFATE. PLACENTA EXTRACT'],1,NEOMYCIN SULFATE. PLACENTA EXTRACT
LKE14045010,VIGOR - ACE,ZINC SULFATE. SELENIUM. RETINOL PALMITATE. DL-ALFA TOCOFEROL. ASCORBIC ACID. LECITHIN,KAPSUL LUNAK; 20 mg /50  /7500 IU /100 IU /250 MG /200 IU,"DUS , 10 STRIP @ 10 KAPSUL LUNAK",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2023-08-18,2028-08-18,Berlaku (Khusus Ekspor),Lisensi - Khusus Ekspor,Khusus Ekspor,Lokal/Lainnya,1,5.0,False,805,['ZINC SULFATE. SELENIUM. RETINOL PALMITATE. DL-ALFA TOCOFEROL. ASCORBIC ACID. LECITHIN'],1,ZINC SULFATE. SELENIUM. RETINOL PALMITATE. DL-ALFA TOCOFEROL. ASCORBIC ACID. LECITHIN
GKL1805060410A1,VILDAGLIPTIN,VILDAGLIPTIN,TABLET,"DUS, 3 STRIP @ 10 TABLET",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2026-03-11,2029-10-11,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,3.6,False,1224,['VILDAGLIPTIN'],1,VILDAGLIPTIN
DKI2043400701D1,VILENA 10,LENALIDOMIDE,KAPSUL,"DUS, 7 BLISTER @ 3 KAPSUL",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2024-10-31,2029-10-31,Berlaku,Obat Keras - Impor,Obat Keras,Impor,0,5.0,False,1244,[],1,LENALIDOMIDE
GKL2044300343A1,VINCRISTINE SULFATE,VINCRISTINE SULFATE,INJEKSI,"DUS, 1 VIAL @ 2 ML ;; DUS, 1 VIAL @ 1 ML",GLOBAL ONKOLAB FARMA - Indonesia,GLOBAL ONKOLAB FARMA,Indonesia,2025-03-19,2030-03-19,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1383,['VINCRISTINE SULFATE'],2,VINCRISTINE SULFATE
GKL1634605543A1,VINORELBINE TARTRATE,VINORELBINE TARTRATE,INJEKSI,"DUS, 1 VIAL @ 1 ML ;; DUS, 1 VIAL @ 5 ML",FERRON PAR PHARMACEUTICALS - Indonesia,FERRON PAR PHARMACEUTICALS,Indonesia,2026-03-09,2031-03-09,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1738,['VINORELBINE TARTRATE'],2,VINORELBINE TARTRATE
DKL2142801429A1,VIRLESS,ACICLOVIR,KRIM,"DUS, 1 TUBE @ 5 GRAM",YSP INDUSTRIES INDONESIA - Indonesia,YSP INDUSTRIES INDONESIA,Indonesia,2025-12-23,2030-12-23,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1662,['ACICLOVIR'],1,ACICLOVIR
DKL0432709109A1,VIRON,CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,KAPLET SALUT SELAPUT,"DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT ;; DUS,10 STRIP @ 10 KAPLET SALUT SELAPUT",YARINDO FARMATAMA - Indonesia,YARINDO FARMATAMA,Indonesia,2025-11-19,2030-11-19,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,4,5.0,False,1628,"['CYANOCOBALAMIN', 'METAMIZOLE SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE MONONITRATE']",2,CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE
DKI2263900117A1,VIROPIL,Dolutegravir 50 mg | Lamivudine 300 mg | Tenofovir Disoproxil 245 mg,TABLET SALUT SELAPUT,"DUS, 1 BOTOL @ 30 TABLET SALUT SELAPUT",IMEDCO DJAJA - Indonesia,IMEDCO DJAJA,Indonesia,2022-06-23,2027-06-23,Berlaku,Obat Keras - Impor,Obat Keras,Impor,3,5.0,False,383,"['Dolutegravir 50 mg', 'Lamivudine 300 mg', 'Tenofovir Disoproxil 245 mg']",1,DOLUTEGRAVIR 50 MG | LAMIVUDINE 300 MG | TENOFOVIR DISOPROXIL 245 MG
DKL7822251529A1,VISANCORT,CAMPHOR. CLIOQUINOL. HYDROCORTISONE,KRIM; 10 MG /10 MG /10 MG,"DUS, 1 TUBE @ 10 GRAM",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2021-04-22,2026-04-22,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,True,-44,['CAMPHOR. CLIOQUINOL. HYDROCORTISONE'],1,CAMPHOR. CLIOQUINOL. HYDROCORTISONE
LKE15198016,VISINE REFRESH,MACROGOL 400. GLYCEROL. HYPROMELLOSE,TETES MATA; 1 % W/V /0.2 % W/V /0.2 % W/V,"DUS, 24 DUS @ 1 BOTOL PLASTIK @ 6 ML",PFIZER INDONESIA - Indonesia,PFIZER INDONESIA,Indonesia,2020-03-08,2025-03-08,Berlaku (Khusus Ekspor),Lisensi - Khusus Ekspor,Khusus Ekspor,Lokal/Lainnya,1,5.0,True,-454,['MACROGOL 400. GLYCEROL. HYPROMELLOSE'],1,MACROGOL 400. GLYCEROL. HYPROMELLOSE
DKL2002507009A1,VITAFOL,FOLIC ACID,KAPLET SALUT SELAPUT,"DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT",DIPA PHARMALAB INTERSAINS - Indonesia,DIPA PHARMALAB INTERSAINS,Indonesia,2025-09-20,2030-09-20,Berlaku,Obat Keras - Lokal,Obat Keras,Lokal/Lainnya,1,5.0,False,1568,['FOLIC ACID'],1,FOLIC ACID
DBL7814805548A1,VITAL EAR OIL,THYMOL. CAMPHOR. PEPPERMINT OIL,"TETES TELINGA; 10,0 MG /60,0 MG /0,03 ML","DUS, 12 DUS @ 1 BOTOL PLASTIK @ 10 ML",MEDIKON PRIMA LABORATORIES - Indonesia,MEDIKON PRIMA LABORATORIES,Indonesia,2021-04-22,2026-04-22,Berlaku,Obat Bebas - Lokal,Obat Bebas,Lokal/Lainnya,1,5.0,True,-44,['THYMOL. CAMPHOR. PEPPERMINT OIL'],1,THYMOL. CAMPHOR. PEPPERMINT OIL
DKI1374502143B1,VITALIPID-N ADULT,PHYTOMENADIONE. RETINOL PALMITATE. ERGOCALCIFEROL. DL-ALFA TOCOFEROL,INJEKSI; 15 MCG /194.1 MCG /0.5 MCG /0.91 MG,"DUS, 10 AMPUL @ 10 ML",FRESENIUS KABI COMBIPHAR - Indonesia,FRESENIUS KABI COMBIPHAR,Indonesia,2023-06-08,2028-03-11,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.8,False,645,['PHYTOMENADIONE. RETINOL PALMITATE. ERGOCALCIFEROL. DL-ALFA TOCOFEROL'],1,PHYTOMENADIONE. RETINOL PALMITATE. ERGOCALCIFEROL. DL-ALFA TOCOFEROL
DKI1374502143A1,VITALIPID-N INFANT,PHYTOMENADIONE. DL-ALFA TOCOFEROL. RETINOL PALMITATE. ERGOCALCIFEROL,INJEKSI; 20 MCG /0.64 MG /135.3 MCG /1 MCG,"DUS,10 AMPUL @ 10 ML",FRESENIUS KABI COMBIPHAR - Indonesia,FRESENIUS KABI COMBIPHAR,Indonesia,2023-06-15,2028-03-11,Berlaku,Obat Keras - Impor,Obat Keras,Impor,1,4.7,False,645,['PHYTOMENADIONE. DL-ALFA TOCOFEROL. RETINOL PALMITATE. ERGOCALCIFEROL'],1,PHYTOMENADIONE. DL-ALFA TOCOFEROL. RETINOL PALMITATE. ERGOCALCIFEROL
GKL7209323143A1,VITAMIN B COMPLEX,DEXPANTHENOL | LIDOCAINE HYDROCHLORIDE | NICOTINAMIDE | PYRIDOXINE HYDROCHLORIDE | RIBOFLAVIN SODIUM PHOSPHATE | THIAMINE HYDROCHLORIDE,INJEKSI,"DUS, 30 VIAL @ 10 ML",IKAPHARMINDO PUTRAMAS Tbk. - Indonesia,IKAPHARMINDO PUTRAMAS Tbk.,Indonesia,2025-02-17,2027-12-31,Berlaku,Obat Generik Keras - Lokal,Obat Keras,Lokal/Lainnya,6,2.9,False,574,"['DEXPANTHENOL', 'LIDOCAINE HYDROCHLORIDE', 'NICOTINAMIDE', 'PYRIDOXINE HYDROCHLORIDE', 'RIBOFLAVIN SODIUM PHOSPHATE', 'THIAMINE HYDROCHLORIDE']",1,DEXPANTHENOL | LIDOCAINE HYDROCHLORIDE | NICOTINAMIDE | PYRIDOXINE HYDROCHLORIDE | RIBOFLAVIN SODIUM PHOSPHATE | THIAMINE HYDROCHLORIDE
