nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
DBL8506302209A1,ERLAGIN,THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. PARACETAMOL,['THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. PARACETAMOL'],UNKNOWN,,0
DKL0406311646A1,ERLAMYCETIN PLUS,CHLORAMPHENICOL. DEXAMETHASONE SODIUM PHOSPHATE,['CHLORAMPHENICOL. DEXAMETHASONE SODIUM PHOSPHATE'],kortikosteroid,kortikosteroid,1
DKL1506417517A1,ERLIMIC,TRANEXAMIC ACID,['TRANEXAMIC ACID'],UNKNOWN,,0
DKI2049500717A1,ERLONAT,ERLOTINIB HYDROCHLORIDE,['ERLOTINIB HYDROCHLORIDE'],UNKNOWN,,0
DBL1906420117A1,ERPHA NERVION,THIAMINE NITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,['THIAMINE NITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],UNKNOWN,,0
DTL8106402710A1,ERPHAKAF,DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. PHENYLPROPANOLAMINE HYDROCHLORIDE,['DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. PHENYLPROPANOLAMINE HYDROCHLORIDE'],UNKNOWN,,0
DTL8106402137A1,ERPHAKAF PLUS,DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. PHENYLPROPANOLAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. SODIUM CITRATE DIHYDRATE,['DEXTROMETHORPHAN HYDROBROMIDE. DIPHENHYDRAMINE HYDROCHLORIDE. PHENYLPROPANOLAMINE HYDROCHLORIDE. AMMONIUM CHLORIDE. SODIUM CITRATE DIHYDRATE'],UNKNOWN,,0
DBL8306401004A1,ERPHAMAG,DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM TRISILICATE,['DRIED ALUMINIUM HYDROXIDE GEL. MAGNESIUM TRISILICATE'],UNKNOWN,,0
DKL1306415844A1,ERPRAZOL,PANTOPRAZOLE SODIUM,['PANTOPRAZOLE SODIUM'],UNKNOWN,,0
DKI2443900444A1,ERTANEM,ERTAPENEM SODIUM,['ERTAPENEM SODIUM'],UNKNOWN,,0
DKL2006420637A1,ERTIFEN,KETOTIFEN HYDROGEN FUMARATE,['KETOTIFEN HYDROGEN FUMARATE'],UNKNOWN,,0
DKI1835400343A1,ERYKINE,RECOMBINANT HUMAN ERYTHROPOIETIN ALFA,['RECOMBINANT HUMAN ERYTHROPOIETIN ALFA'],UNKNOWN,,0
DKL2233555542A1,ERYL LOW CALCIUM WITH 1.5 % DEXTROSE,DEXTROSE MONOHYDRATE. SODIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. MAGNESIUM CHLORIDE HEXAHYDRATE. KOMBINASI-SODIUM LACTATE SOLUTION 50,['DEXTROSE MONOHYDRATE. SODIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. MAGNESIUM CHLORIDE HEXAHYDRATE. KOMBINASI-SODIUM LACTATE SOLUTION 50'],UNKNOWN,,0
DKL2233555542B1,ERYL LOW CALCIUM WITH 2.5 % DEXTROSE,SODIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. MAGNESIUM CHLORIDE HEXAHYDRATE. DEXTROSE MONOHYDRATE. KOMBINASI-SODIUM LACTATE SOLUTION 50,['SODIUM CHLORIDE. CALCIUM CHLORIDE DIHYDRATE. MAGNESIUM CHLORIDE HEXAHYDRATE. DEXTROSE MONOHYDRATE. KOMBINASI-SODIUM LACTATE SOLUTION 50'],UNKNOWN,,0
DKL8528601129A1,ERYMED,ERYTHROMYCIN,['ERYTHROMYCIN'],UNKNOWN,,0
DKL0328603441A1,ERYMED PLUS,ERYTHROMYCIN. TRETINOIN,['ERYTHROMYCIN. TRETINOIN'],UNKNOWN,,0
DKL7822225638A1,ERYSANBE,ERYTHROMYCIN ETHYL SUCCINATE,['ERYTHROMYCIN ETHYL SUCCINATE'],UNKNOWN,,0
GKL9613606101A1,ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE,['ERYTHROMYCIN STEARATE'],UNKNOWN,,0
DKL2531552510A1,"ESAMLO 2,5",LEVAMLODIPINE MALEAT,['LEVAMLODIPINE MALEAT'],ccb,ccb,1
DKI2457511617A1,ESBRIET,PIRFENIDONE,['PIRFENIDONE'],UNKNOWN,,0
DBL2511704410A1,ESEPULUH,CAFFEINE ANHYDROUS | PARACETAMOL,"['CAFFEINE ANHYDROUS', 'PARACETAMOL']",xantin,xantin,1
DPL7825102910A1,ESILGAN,ESTAZOLAM,['ESTAZOLAM'],UNKNOWN,,0
LKE20335009,ESKETAMINE,ESKETAMINE HYDROCHLORIDE,['ESKETAMINE HYDROCHLORIDE'],UNKNOWN,,0
DKL2213324115A1,ESOLA 20,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE,['ESOMEPRAZOLE MAGNESIUM TRIHYDRATE'],UNKNOWN,,0
GKL2113323944A1,ESOMEPRAZOLE SODIUM,ESOMEPRAZOLE SODIUM,['ESOMEPRAZOLE SODIUM'],UNKNOWN,,0
GKL1518827744A1,ESOMEPRAZOLE SODIUM,KOMBINASI-ESOMEPRAZOLE SODIUM STERILE LYOPHILIZED,['ESOMEPRAZOLE SODIUM STERILE LYOPHILIZED'],UNKNOWN,,0
DKL0006501709A1,ETANEURAL,CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE HYDROCHLORIDE,"['CYANOCOBALAMIN', 'METAMIZOLE SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE HYDROCHLORIDE']",UNKNOWN,,0
DKI2468600149A1,ETAPIDI,TISLELIZUMAB,['TISLELIZUMAB'],UNKNOWN,,0
DKI2054700144A1,ETARFION,ETANERCEPT,['ETANERCEPT'],UNKNOWN,,0
GKL2544407717B1,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,['ETHAMBUTOL HYDROCHLORIDE'],UNKNOWN,,0
GKL7605900339A1,ETHYL CHLORIDE,ETHYL CHLORIDE,['ETHYL CHLORIDE'],UNKNOWN,,0
DKI0616200143A1,ETOPUL,ETOPOSIDE,['ETOPOSIDE'],UNKNOWN,,0
DKL2006319948A1,ETT PLUS,BENZOCAINE | CHLORAMPHENICOL | POLYMYXIN B SULFATE,"['BENZOCAINE', 'CHLORAMPHENICOL', 'POLYMYXIN B SULFATE']",UNKNOWN,,0
DKI2163401910B1,EUTHYROX,LEVOTHYROXINE SODIUM,['LEVOTHYROXINE SODIUM'],tiroid,tiroid,1
DKI2249500910B1,EVERONAT 10,EVEROLIMUS,['EVEROLIMUS'],imunosupresan,imunosupresan,1
DKI2157511138A1,EVRYSDI,RISDIPLAM,[],UNKNOWN,,0
LKE20227016,EXADON,PARACETAMOL. CAFFEINE,[],UNKNOWN,,0
DKI0867507255B1,EXELON PATCH 10,RIVASTIGMINE,['RIVASTIGMINE'],UNKNOWN,,0
DKL0634605944B1,EXEPIME,CEFEPIME HYDROCHLORIDE BUFFERED WITH ARGININE,['CEFEPIME HYDROCHLORIDE BUFFERED WITH ARGININE'],UNKNOWN,,0
DKI2601700617C1,EXFORGE 10/160,AMLODIPINE BESILATE | VALSARTAN,"['AMLODIPINE BESILATE', 'VALSARTAN']",ace_arb,ace_arb|ccb,1
DKL0217618444A1,EXTIMON,KOMBINASI-CEFTAZIDIME PENTAHYDRATE WITH SODIUM CARBONATE,['CEFTAZIDIME PENTAHYDRATE WITH SODIUM CARBONATE'],UNKNOWN,,0
DKI0915600242A1,EXTRANEAL,CALCIUM CHLORIDE DIHYDRATE | ICODEXTRIN | MAGNESIUM CHLORIDE HEXAHYDRATE | SODIUM CHLORIDE | SODIUM LACTATE,"['CALCIUM CHLORIDE DIHYDRATE', 'ICODEXTRIN', 'MAGNESIUM CHLORIDE HEXAHYDRATE', 'SODIUM CHLORIDE', 'SODIUM LACTATE']",UNKNOWN,,0
DTL0203808846A1,EYEFRESH,HYPROMELLOSE. DEXTRAN 70,['HYPROMELLOSE. DEXTRAN 70'],UNKNOWN,,0
DTL1003813246A1,EYEFRESH PLUS,DEXTRAN 70 | GLYCEROL | HYPROMELLOSE,"['DEXTRAN 70', 'GLYCEROL', 'HYPROMELLOSE']",UNKNOWN,,0
DKI1368204943A2,EYLEA,AFLIBERCEPT,['AFLIBERCEPT'],UNKNOWN,,0
DKI2570600143A1,EZ RAPID,INSULIN ASPART,['INSULIN ASPART'],antidiabetes,antidiabetes,1
DKL1907923604A1,EZETATIN,SIMVASTATIN. EZETIMIBE,['SIMVASTATIN. EZETIMIBE'],statin,statin,1
GKL2343503610A1,EZETIMIBE,EZETIMIBE,['EZETIMIBE'],UNKNOWN,,0
DKL1909225304A1,FALCOFEN,BACLOFEN,['BACLOFEN'],UNKNOWN,,0
EUA2133552717A1,FAPIVELL,FAVIPIRAVIR,['FAVIPIRAVIR'],UNKNOWN,,0
DKL1131530543A1,FAPRESOR,METOPROLOL TARTRATE,['METOPROLOL TARTRATE'],beta_blocker,beta_blocker,1
DBL8831501717A1,FARBION,CYANOCOBALAMIN | PYRIDOXINE HYDROCHLORIDE | THIAMINE DISULFIDE,"['CYANOCOBALAMIN', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE DISULFIDE']",UNKNOWN,,0
DKL1031530775A1,FARBIVENT,IPRATROPIUM BROMIDE MONOHYDRATE. SALBUTAMOL SULFATE,['IPRATROPIUM BROMIDE MONOHYDRATE. SALBUTAMOL SULFATE'],UNKNOWN,,0
DKL2631553617A1,FARBRADINE 5,IVABRADINE HYDROCHLORIDE,['IVABRADINE HYDROCHLORIDE'],UNKNOWN,,0
DKL8831500510A1,FARGOXIN,DIGOXIN,['DIGOXIN'],glikosida_jantung,glikosida_jantung,1
DKL0931528949A1,FARHES,HYDROXYETHYL STARCH,['HYDROXYETHYL STARCH'],UNKNOWN,,0
DBL8831501533A1,FARMACROL FORTE,DRIED ALUMINIUM HYDROXIDE GEL | KOMBINASI-SIMETHICONE EMULSION 30 | MAGNESIUM HYDROXIDE,"['DRIED ALUMINIUM HYDROXIDE GEL', 'KOMBINASI-SIMETHICONE EMULSION 30', 'MAGNESIUM HYDROXIDE']",UNKNOWN,,0
DKL8831500314A1,FARMALAT ER,NIFEDIPINE,['NIFEDIPINE'],ccb,ccb,1
DTL2109226529A1,FARMASIL,TERBINAFINE HYDROCHLORIDE,['TERBINAFINE HYDROCHLORIDE'],UNKNOWN,,0
DKL2031545917A2,FARNELTIK,HYDROXYCHLOROQUINE SULFATE,['HYDROXYCHLOROQUINE SULFATE'],UNKNOWN,,0
DKL8931502110A1,FARNORMIN 50,ATENOLOL,['ATENOLOL'],beta_blocker,beta_blocker,1
DKL1231532743A1,FARPRESIN,ARGIPRESSIN,['ARGIPRESSIN'],UNKNOWN,,0
DKL2109226329A1,FARSEMIX,DESOXIMETASONE | NEOMYCIN SULFATE,"['DESOXIMETASONE', 'NEOMYCIN SULFATE']",kortikosteroid,kortikosteroid,1
DKL0631526449A1,FARSORBID,ISOSORBIDE DINITRATE,['ISOSORBIDE DINITRATE'],UNKNOWN,,0
DKL9031527710A1,FARSORBID 10,KOMBINASI-ISOSORBIDE DINITRATE 40 WITH LACTOSE,['ISOSORBIDE DINITRATE 40 WITH LACTOSE'],UNKNOWN,,0
DKL1931544110A1,FARTISON,HYDROCORTISONE,['HYDROCORTISONE'],kortikosteroid,kortikosteroid,1
DKI2251304343A1,FASENRA,BENRALIZUMAB,['BENRALIZUMAB'],UNKNOWN,,0
DKL9609206533A1,FASIPRIM,TRIMETHOPRIM. SULFAMETHOXAZOLE,[],UNKNOWN,,0
DTL7219908133A1,FEBRINEX,DEXCHLORPHENIRAMINE MALEATE | PARACETAMOL | SULFOGAIACOL POTASSIUM,"['DEXCHLORPHENIRAMINE MALEATE', 'PARACETAMOL', 'SULFOGAIACOL POTASSIUM']",UNKNOWN,,0
DTL7219908133A2,FEBRINEX,DEXCHLORPHENIRAMINE MALEATE. PARACETAMOL. SULFOGAIACOL POTASSIUM,['DEXCHLORPHENIRAMINE MALEATE. PARACETAMOL. SULFOGAIACOL POTASSIUM'],UNKNOWN,,0
GKL2605070117A1,FEBUXOSTAT,FEBUXOSTAT,['FEBUXOSTAT'],UNKNOWN,,0
DKI2563500380A1,FEIBA,FACTOR VIII INHIBITOR BYPASSING ACTIVITY,['FACTOR VIII INHIBITOR BYPASSING ACTIVITY'],UNKNOWN,,0
DKI1436200317A1,FEMAPLEX,LETROZOLE,['LETROZOLE'],UNKNOWN,,0
DTL7813004710A1,FEMINAX,PARACETAMOL. HYOSCYAMINE EXTRACT,['PARACETAMOL. HYOSCYAMINE EXTRACT'],UNKNOWN,,0
GKL2133551268A1,FENOTEROL HYDROBROMIDE,FENOTEROL HYDROBROMIDE,['FENOTEROL HYDROBROMIDE'],UNKNOWN,,0
GNL2412434243A1,FENTANYL CITRATE,FENTANYL CITRATE,['FENTANYL CITRATE'],UNKNOWN,,0
DKI1755200243A1,FERINJECT,FERRIC CARBOXYMALTOSE,['FERRIC CARBOXYMALTOSE'],UNKNOWN,,0
DBL2133553563A1,FERMOM,FOLIC ACID. FERRIC HYDROXIDE POLYMALTOSE COMPLEX,['FOLIC ACID. FERRIC HYDROXIDE POLYMALTOSE COMPLEX'],UNKNOWN,,0
DBL8506405408A2,FEROBION,ASCORBIC ACID | CALCIUM PANTOTHENATE | CYANOCOBALAMIN | FERROUS FUMARATE | FOLIC ACID | LYSINE HYDROCHLORIDE | NICOTINAMIDE | PYRIDOXINE HYDROCHLORIDE | RIBOFLAVIN | THIAMINE MONONITRATE,"['ASCORBIC ACID', 'CALCIUM PANTOTHENATE', 'CYANOCOBALAMIN', 'FERROUS FUMARATE', 'FOLIC ACID', 'LYSINE HYDROCHLORIDE', 'NICOTINAMIDE', 'PYRIDOXINE HYDROCHLORIDE', 'RIBOFLAVIN', 'THIAMINE MONONITRATE']",UNKNOWN,,0
DKL0621631644A1,FEROTAM,CEFOPERAZONE SODIUM AND SULBACTAM SODIUM,['CEFOPERAZONE SODIUM AND SULBACTAM SODIUM'],UNKNOWN,,0
LKE20141007,FERROUS SULFATE + FOLIC ACID,FOLIC ACID. FERROUS SULFATE,['FOLIC ACID. FERROUS SULFATE'],UNKNOWN,,0
DKL0617621553A1,FETIK,KETOPROFEN,['KETOPROFEN'],nsaid,nsaid,1
DKI2649001117A1,FEXUCLUE,FEXUPRAZAN HYDROCHLORIDE,['FEXUPRAZAN HYDROCHLORIDE'],UNKNOWN,,0
DKL7215303612A1,FG TROCHES MEIJI,GRAMICIDIN | NEOMYCIN SULFATE,"['GRAMICIDIN', 'NEOMYCIN SULFATE']",UNKNOWN,,0
DKI1643600180A1,FIBRION,STREPTOKINASE,['STREPTOKINASE'],UNKNOWN,,0
DKL2132408143A1,FILGIA,FILGRASTIM,['FILGRASTIM'],UNKNOWN,,0
DKL2228407449A1,FIMALIPID,SOYA- BEAN OIL. REFINED. MEDIUM CHAIN TRIGLYCERIDES. OLIVE OIL. PURIFIED FISH OIL,['SOYA- BEAN OIL. REFINED. MEDIUM CHAIN TRIGLYCERIDES. OLIVE OIL. PURIFIED FISH OIL'],UNKNOWN,,0
DKL9807105704A1,FIMEDIAB,GLIBENCLAMIDE,['GLIBENCLAMIDE'],antidiabetes,antidiabetes,1
DKL2409228217A1,FINAZIDE,FINASTERIDE,['FINASTERIDE'],UNKNOWN,,0
DKL1340804080A1,FIOCILAS,KOMBINASI-IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM,['IMIPENEM MONOHYDRATE AND CILASTATIN SODIUM'],UNKNOWN,,0
DKI2351603217A1,FIRIALTA,FINERENONE,['FINERENONE'],UNKNOWN,,0
DTL2209613437B1,FITRADEX KID,GUAIFENESIN. CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE,['GUAIFENESIN. CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE'],UNKNOWN,,0
DKL0933405033A1,FLAGSOL,METRONIDAZOLE BENZOATE,['METRONIDAZOLE BENZOATE'],UNKNOWN,,0
DTI0609400258A1,FLEET ENEMA,KOMBINASI-DIBASIC SODIUM PHOSPHATE HEPTAHYDRATE | KOMBINASI-MONOBASIC SODIUM PHOSPHATE MONOHYDRATE,"['DIBASIC SODIUM PHOSPHATE HEPTAHYDRATE', 'KOMBINASI-MONOBASIC SODIUM PHOSPHATE MONOHYDRATE']",UNKNOWN,,0
DKI1585100739A1,FLIXOTIDE,FLUTICASONE PROPIONATE,['FLUTICASONE PROPIONATE'],kortikosteroid,kortikosteroid,1
LKE16055129,FLOXAPEN,FLUCLOXACILLIN SODIUM,['FLUCLOXACILLIN SODIUM'],UNKNOWN,,0
DTL2623418304A1,FLUANZA PLUS,DEXCHLORPHENIRAMINE MALEATE | DEXTROMETHORPHAN HYDROBROMIDE | GUAIFENESIN | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE,"['DEXCHLORPHENIRAMINE MALEATE', 'DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN', 'PARACETAMOL', 'PHENYLPROPANOLAMINE HYDROCHLORIDE']",UNKNOWN,,0
DKI2197100743A1,FLUARIX TETRA,"A/MISSOURI/11/2025 (H1N1)PDM09-LIKE STRAIN (A/SWITZERLAND/6849/2025, IVR-278) | A/SINGAPORE/GP20238/2024 (H3N2)-LIKE STRAIN (A/SINGAPORE/GP20238/2024, IVR-277) | B/AUSTRIA/1359417/2021-LIKE STRAIN(B/AUSTRIA/1359417/2021, BVR-26) | B/PHUKET/3073/2013-LIKE STRAIN (B/PHUKET/3073/2013, WILD TYPE)","['A/MISSOURI/11/2025 (H1N1)PDM09-LIKE STRAIN (A/SWITZERLAND/6849/2025, IVR-278)', 'A/SINGAPORE/GP20238/2024 (H3N2)-LIKE STRAIN (A/SINGAPORE/GP20238/2024, IVR-277)', 'B/AUSTRIA/1359417/2021-LIKE STRAIN(B/AUSTRIA/1359417/2021, BVR-26)', 'B/PHUKET/3073/2013-LIKE STRAIN (B/PHUKET/3073/2013, WILD TYPE)']",UNKNOWN,,0
DKI2197100643A1,FLUARIX TETRA NH,"A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS, (A/CROATIA/10136RV/2023, X-425A) | A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238) | B/AUSTRIA/1359417/2021-LIKE STRAIN(B/AUSTRIA/1359417/2021, BVR-26) | B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)","['A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS, (A/CROATIA/10136RV/2023, X-425A)', 'A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)', 'B/AUSTRIA/1359417/2021-LIKE STRAIN(B/AUSTRIA/1359417/2021, BVR-26)', 'B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)']",UNKNOWN,,0
DKL0902906343A1,FLUBIO,"A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS (A/PERTH/722/2024, IVR-262) | A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238) | B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)","['A/CROATIA/10136RV/2023 (H3N2) - LIKE VIRUS (A/PERTH/722/2024, IVR-262)', 'A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)', 'B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)']",UNKNOWN,,0
DKI2055500143B1,FLUBIO HL,"A/CROATIA/10136RV/2023 (H3N2)- LIKE VIRUS (A/CROATIA/10136RV/2023, X-425A) | A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238) | B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)","['A/CROATIA/10136RV/2023 (H3N2)- LIKE VIRUS (A/CROATIA/10136RV/2023, X-425A)', 'A/VICTORIA/4897/2022(H1N1)PDM09 - LIKE VIRUS (A/VICTORIA/4897/2022, IVR-238)', 'B/AUSTRIA/1359417/2021- LIKE VIRUS (B/AUSTRIA/1359417/2021, BVR-26)']",UNKNOWN,,0
DKI2055500143A1,FLUBIO HL PEDIATRIC USE,A/HONG KONG/4801/2014 (H3N2)-LIKE VIRUS. B/BRISBANE/60/2008-LIKE STRAIN (B/BRISBANE/60/2008. WILD TYPE). A/CALIFORNIA/07/2009(H1N1)PDM09-LIKE VIRUS,['A/HONG KONG/4801/2014 (H3N2)-LIKE VIRUS. B/BRISBANE/60/2008-LIKE STRAIN (B/BRISBANE/60/2008. WILD TYPE). A/CALIFORNIA/07/2009(H1N1)PDM09-LIKE VIRUS'],UNKNOWN,,0
DTL1931117537A1,FLUCADEX PE FLU & BATUK BERDAHAK,PARACETAMOL. GUAIFENESIN. PHENYLEPHRINE HYDROCHLORIDE,['PARACETAMOL. GUAIFENESIN. PHENYLEPHRINE HYDROCHLORIDE'],UNKNOWN,,0
DTL1931117404A1,FLUCADEX PE FLU & BATUK BERDAHAK,PARACETAMOL. PHENYLEPHRINE HYDROCHLORIDE. GUAIFENESIN,['PARACETAMOL. PHENYLEPHRINE HYDROCHLORIDE. GUAIFENESIN'],UNKNOWN,,0
DKI2146700317A1,FLUDARA,FLUDARABINE PHOSPHATE,['FLUDARABINE PHOSPHATE'],UNKNOWN,,0
DTL8717204910A1,FLUKOL X-TRA,PARACETAMOL. EPHEDRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN,['PARACETAMOL. EPHEDRINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN'],UNKNOWN,,0
DTL8527900904A2,FLUMIN,CHLORPHENAMINE MALEATE. PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE,['CHLORPHENAMINE MALEATE. PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE'],UNKNOWN,,0
GKL7603813946A1,FLUORESCEIN,FLUORESCEIN SODIUM,['FLUORESCEIN SODIUM'],UNKNOWN,,0
GKL1922257343A1,FLUOROURACIL,FLUOROURACIL,['FLUOROURACIL'],UNKNOWN,,0
DKI1616500243A1,FLUQUADRI,A/BRISBANE/02/2018 (H1N1) PDM09 - LIKE VIRUS. A/KANSAS/14/2017 (H3N2) - LIKE VIRUS (A/KANSAS/14/2017. X-327). B/COLORADO/06/2017-LIKE VIRUS (B/MARYLAND/15/2016. BX-69A (VICTORIA LINEAGE)). B/PHUKET/3073/2013-LIKE VIRUS (B/YAMAGATA/16/88 LINEAGE),['A/BRISBANE/02/2018 (H1N1) PDM09 - LIKE VIRUS. A/KANSAS/14/2017 (H3N2) - LIKE VIRUS (A/KANSAS/14/2017. X-327). B/COLORADO/06/2017-LIKE VIRUS (B/MARYLAND/15/2016. BX-69A (VICTORIA LINEAGE)). B/PHUKET/3073/2013-LIKE VIRUS (B/YAMAGATA/16/88 LINEAGE)'],UNKNOWN,,0
DTL1906511110A1,FLUTADEX PE EXTRA,CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE. GUAIFENESIN. PHENYLEPHRINE HYDROCHLORIDE,['CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE. GUAIFENESIN. PHENYLEPHRINE HYDROCHLORIDE'],UNKNOWN,,0
DTL8521000437A1,FLUTAMOL,PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN. PARACETAMOL,['PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN. PARACETAMOL'],UNKNOWN,,0
DTL8721001904A1,FLUTAMOL,PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN,['PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. GUAIFENESIN'],UNKNOWN,,0
DTL9421008001A1,FLUTAMOL-P,PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE,['PARACETAMOL. PHENYLPROPANOLAMINE HYDROCHLORIDE. CHLORPHENAMINE MALEATE. DEXTROMETHORPHAN HYDROBROMIDE'],UNKNOWN,,0
DKI1026100375B1,FLUTIAS 125,FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE,"['FLUTICASONE PROPIONATE', 'SALMETEROL XINAFOATE']",kortikosteroid,kortikosteroid,1
DKI2500400456A1,FLUTIC AZ,AZELASTINE HYDROCHLORIDE | FLUTICASONE PROPIONATE,"['AZELASTINE HYDROCHLORIDE', 'FLUTICASONE PROPIONATE']",kortikosteroid,kortikosteroid,1
GKL2632724617A1,FLUVOXAMINE MALEATE,FLUVOXAMINE MALEATE,['FLUVOXAMINE MALEATE'],UNKNOWN,,0
DTL1906420409A1,FLUZA DAY,DEXTROMETHORPHAN HYDROBROMIDE | GUAIFENESIN | PARACETAMOL | PHENYLPROPANOLAMINE HYDROCHLORIDE,"['DEXTROMETHORPHAN HYDROBROMIDE', 'GUAIFENESIN', 'PARACETAMOL', 'PHENYLPROPANOLAMINE HYDROCHLORIDE']",UNKNOWN,,0
LKE22136008,FLUZA FORT,PARACETAMOL. CHLORPHENAMINE MALEATE. PHENYLEPHRINE HYDROCHLORIDE,['PARACETAMOL. CHLORPHENAMINE MALEATE. PHENYLEPHRINE HYDROCHLORIDE'],UNKNOWN,,0
DKL1641500444B1,FONKOMUSTIN,BENDAMUSTIN HYDROCHLORIDE MONOHYDRATE,['BENDAMUSTIN HYDROCHLORIDE MONOHYDRATE'],UNKNOWN,,0
DKL2041501144B1,FONTREXED,PEMETREXED DISODIUM HEMIPENTAHYDRATE,['PEMETREXED DISODIUM HEMIPENTAHYDRATE'],UNKNOWN,,0
DKL2504421181B1,FORDESIA,DONEPEZIL HYDROCHLORIDE,['DONEPEZIL HYDROCHLORIDE'],UNKNOWN,,0
DKL2532410109A1,FORDICA PLUS 500/5,GLIBENCLAMIDE | METFORMIN HYDROCHLORIDE,"['GLIBENCLAMIDE', 'METFORMIN HYDROCHLORIDE']",antidiabetes,antidiabetes,1
DKL0433204317A1,FORDIN,RANITIDINE HYDROCHLORIDE,['RANITIDINE HYDROCHLORIDE'],UNKNOWN,,0
DBL2515722963A1,FOREMIC CHEW,FERRIC HYDROXIDE POLYMALTOSE COMPLEX | FOLIC ACID,"['FERRIC HYDROXIDE POLYMALTOSE COMPLEX', 'FOLIC ACID']",UNKNOWN,,0
DKL1905062017A1,FORESPI,ROFLUMILAST,['ROFLUMILAST'],UNKNOWN,,0
DKL9722221438A1,FORIFEK,CEFACLOR MONOHYDRATE,['CEFACLOR MONOHYDRATE'],UNKNOWN,,0
