nomor_registrasi,nama_produk,komposisi,list_zat_aktif,primary_drug_category,all_drug_categories,matched
DKI2588803580A1,ALIMTA,PEMETREXED DISODIUM HEPTAHYDRATE,['PEMETREXED DISODIUM HEPTAHYDRATE'],UNKNOWN,,0
DTL1504522837A1,ALLERIN EXPECTORANT,PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN,['PSEUDOEPHEDRINE HYDROCHLORIDE. DIPHENHYDRAMINE HYDROCHLORIDE. SODIUM CITRATE DIHYDRATE. GUAIFENESIN'],UNKNOWN,,0
DKL1806318331A1,ALLETROL COMPOSITUM,DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE,['DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE. POLYMYXIN B SULFATE'],kortikosteroid,kortikosteroid,1
DKL2206309746B1,ALLETROL COMPOSITUM FORTE,POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE,['POLYMYXIN B SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. NEOMYCIN SULFATE'],kortikosteroid,kortikosteroid,1
DBL8821003363A1,ALMACON,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM HYDROXIDE | SIMETHICONE,"['DRIED ALUMINIUM HYDROXIDE GEL', 'MAGNESIUM HYDROXIDE', 'SIMETHICONE']",UNKNOWN,,0
GPL2617636110A1,ALPRAZOLAM,ALPRAZOLAM,['ALPRAZOLAM'],UNKNOWN,,0
DBL2504218433A1,ALUMY,DRIED ALUMINIUM HYDROXIDE GEL | MAGNESIUM TRISILICATE | SIMETHICONE EMULSION 30%,"['DRIED ALUMINIUM HYDROXIDE GEL', 'MAGNESIUM TRISILICATE', 'SIMETHICONE EMULSION 30%']",UNKNOWN,,0
DBL2104218163A1,ALUMY,SIMETHICONE EMULSION 30. MAGNESIUM TRISILICATE. DRIED ALUMINIUM HYDROXIDE GEL,['SIMETHICONE EMULSION 30. MAGNESIUM TRISILICATE. DRIED ALUMINIUM HYDROXIDE GEL'],UNKNOWN,,0
DKI2631500617B1,ALUNBRIG,BRIGATINIB,['BRIGATINIB'],UNKNOWN,,0
DKI2182101017A1,ALUVIA,LOPINAVIR. RITONAVIR,['LOPINAVIR. RITONAVIR'],UNKNOWN,,0
DKI1082100817B1,ALUVIA,RITONAVIR. LOPINAVIR,['RITONAVIR. LOPINAVIR'],UNKNOWN,,0
DKI1423600244A1,ALVEOFACT,PHOSPHOLIPID FRACTION FROM BOVINE LUNG LAVAGE (SF-RI 1),['PHOSPHOLIPID FRACTION FROM BOVINE LUNG LAVAGE (SF-RI 1)'],UNKNOWN,,0
DKL8527902504A1,ALVITA,METAMIZOLE SODIUM. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,['METAMIZOLE SODIUM. THIAMINE HYDROCHLORIDE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN'],UNKNOWN,,0
GKL2628920937A1,AMBROXOL HYDROCHLORIDE,AMBROXOL HYDROCHLORIDE,['AMBROXOL HYDROCHLORIDE'],UNKNOWN,,0
LKE21241002,AMINOCARE,ALPHA-KETO-ISOLEUCIN CALCIUM. ALPHA-KETO-LEUCINE CALCIUM. ALPHA-KETO-PHENYLALANINE CALCIUM. ALPHA-KETO-VALINE CALCIUM. ALPHA-HYDROXY METHIONINE CALCIUM. LYSINE ACETATE. THREONINE. TRYPTOPHAN. HISTIDINE. TYROSINE,[],UNKNOWN,,0
