backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
GKL2605070044A1,GKL2605070044A1,HYDROCORTISONE SODIUM SUCCINATE,KOMBINASI-HYDROCORTISONE SODIUM SUCCINATE BUFFERED 5 STERILE,HYDROCORTISONE SODIUM SUCCINATE BUFFERED 5 STERILE,['HYDROCORTISONE SODIUM SUCCINATE BUFFERED 5 STERILE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,SERBUK INJEKSI,injeksi,parenteral,"DUS, 1 VIAL @ 100 MG",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2026-04-21,2031-04-21,Berlaku,aktif,1781,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
GKL2113323844A1,GKL2113323844A1,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,['HYDROCORTISONE SODIUM SUCCINATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,SERBUK INJEKSI,injeksi,parenteral,"DUS, 1 VIAL @ 100 MG",LAPI LABORATORIES - Indonesia,LAPI LABORATORIES,Indonesia,2025-11-29,2030-11-29,Berlaku,aktif,1638,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
DKL0305033810C1,DKL0305033810C1,HYPERIL,RAMIPRIL,RAMIPRIL,['RAMIPRIL'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2025-11-19,2030-11-19,Berlaku,aktif,1628,1,drug_name_category_lookup.csv,RAMIPRIL,curated_rule
LKE22066209,LKE22066209,HYZAAR,LOSARTAN POTASSIUM. HYDROCHLOROTHIAZIDE,LOSARTAN POTASSIUM. HYDROCHLOROTHIAZIDE,['LOSARTAN POTASSIUM. HYDROCHLOROTHIAZIDE'],1,ace_arb,ace_arb,ace_arb,1,Lisensi - Khusus Ekspor,Khusus Ekspor,0,0,TABLET SALUT SELAPUT; 100.0 MG /12.50 MG,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT ;; DRUM, MAKSIMUM @ 35 KG",ORGANON PHARMA INDONESIA TBK - Indonesia,ORGANON PHARMA INDONESIA TBK,Indonesia,2022-11-04,2027-11-04,Berlaku (Khusus Ekspor),aktif,517,2,drug_name_category_lookup.csv,LOSARTAN,curated_rule
GKL2405067943A1,GKL2405067943A1,IBUPROFEN SODIUM DIHYDRATE,IBUPROFEN SODIUM DIHYDRATE,IBUPROFEN SODIUM DIHYDRATE,['IBUPROFEN SODIUM DIHYDRATE'],1,nsaid,nsaid,nsaid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,"INJEKSI; 128,12 MG",injeksi,parenteral,"DUS, 5 AMPUL @ 8 ML ;; DUS, 5 AMPUL @ 4 ML",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2024-10-01,2029-10-01,Berlaku,aktif,1214,2,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DKL8511603717A1,DKL8511603717A1,IFEN 400,IBUPROFEN,IBUPROFEN,['IBUPROFEN'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 10 STRIP @ 10 TABLET SALUT SELAPUT",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2026-04-30,2031-04-30,Berlaku,aktif,1790,1,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
GKL2333549610B1,GKL2333549610B1,IMIDAPRIL HYDROCHLORIDE,IMIDAPRIL HYDROCHLORIDE,IMIDAPRIL HYDROCHLORIDE,['IMIDAPRIL HYDROCHLORIDE'],1,ace_arb,ace_arb,ace_arb,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-12-31,2030-12-31,Berlaku,aktif,1670,1,drug_name_category_lookup.csv,IMIDAPRIL,curated_rule
DKI2159300117A1,DKI2159300117A1,IMURAN,AZATHIOPRINE,AZATHIOPRINE,['AZATHIOPRINE'],1,imunosupresan,imunosupresan,imunosupresan,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 4 BLISTER @ 25 TABLET SALUT SELAPUT",GLAXO WELLCOME INDONESIA - Indonesia,GLAXO WELLCOME INDONESIA,Indonesia,2026-03-31,2031-03-31,Berlaku,aktif,1760,1,drug_name_category_lookup.csv,AZATHIOPRINE,curated_rule
DKL9802325410B1,DKL9802325410B1,INHITRIL,LISINOPRIL DIHYDRATE,LISINOPRIL DIHYDRATE,['LISINOPRIL DIHYDRATE'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 3 STRIP @ 10 TABLET",BERNOFARM - Indonesia,BERNOFARM,Indonesia,2025-10-27,2030-10-27,Berlaku,aktif,1605,1,drug_name_category_lookup.csv,LISINOPRIL,curated_rule
DKL0117617246A1,DKL0117617246A1,INMATROL,POLYMYXIN B SULFATE. NEOMYCIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE,POLYMYXIN B SULFATE. NEOMYCIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE,['POLYMYXIN B SULFATE. NEOMYCIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"TETES MATA; 6000 IU /5,45 MG /1,46 MG",tetes,mata,"DUS, 1 BOTOL PLASTIK @ 5 ML",INTERBAT - Indonesia,INTERBAT,Indonesia,2024-04-01,2027-12-31,Berlaku,aktif,574,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
