backend_drug_id,nomor_registrasi,nama_produk,komposisi,komposisi_normalized,list_zat_aktif,jumlah_zat_aktif,drug_category,all_drug_categories,kategori_interaksi_obat,siap_cek_interaksi,kategori_obat_bpom,golongan_obat,perlu_resep,perlu_konfirmasi_apoteker,bentuk_sediaan,kelompok_bentuk_sediaan,rute_penggunaan_hint,kemasan,pendaftar,perusahaan,negara_asal,tanggal_terbit,masa_berlaku_sd,status_bpom,status_masa_berlaku,sisa_hari_berlaku,jumlah_varian_kemasan,category_match_source,category_match_pattern,category_source
DKL2532724010B1,DKL2532724010B1,LAMIDO,LAMOTRIGINE,LAMOTRIGINE,['LAMOTRIGINE'],1,antikonvulsan,antikonvulsan,antikonvulsan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET",YARINDO FARMATAMA - Indonesia,YARINDO FARMATAMA,Indonesia,2025-07-04,2030-07-04,Berlaku,aktif,1490,1,drug_name_category_lookup.csv,LAMOTRIGINE,curated_rule
DKL2632720817B1,DKL2632720817B1,LEPSY,LEVETIRACETAM,LEVETIRACETAM,['LEVETIRACETAM'],1,antikonvulsan,antikonvulsan,antikonvulsan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 3 BLISTER @ 10 TABLET SALUT SELAPUT",YARINDO FARMATAMA - Indonesia,YARINDO FARMATAMA,Indonesia,2026-05-05,2031-05-05,Berlaku,aktif,1795,1,drug_name_category_lookup.csv,LEVETIRACETAM,curated_rule
DKI2318605317A1,DKI2318605317A1,LERREX,LERCANIDIPINE HYDROCHLORIDE HEMIHYDRATE,LERCANIDIPINE HYDROCHLORIDE HEMIHYDRATE,['LERCANIDIPINE HYDROCHLORIDE HEMIHYDRATE'],1,ccb,ccb,ccb,1,Obat Keras - Impor,Obat Keras,1,1,"TABLET SALUT SELAPUT; 10,139 MG",tablet,oral,"DUS, 2 BLISTER @ 14 TABLET SALUT SELAPUT",AMAROX PHARMA GLOBAL - Indonesia,AMAROX PHARMA GLOBAL,Indonesia,2023-12-23,2028-12-23,Berlaku,aktif,932,1,drug_name_category_lookup.csv,LERCANIDIPINE,curated_rule
DKI2142000543A1,DKI2142000543A1,LEVEMIR,INSULIN DETEMIR,INSULIN DETEMIR,['INSULIN DETEMIR'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Impor,Obat Keras,1,1,LARUTAN INJEKSI,injeksi,parenteral,"DUS, 5 CARTRIDGE @ 3 ML IN PRE-FILLED PEN (FLEXPEN) ;; DUS, 5 CARTRIDGE @ 3 ML IN PREFILLED PEN (FLEXPEN)",BETA PHARMACON - Indonesia,BETA PHARMACON,Indonesia,2025-12-09,2030-12-09,Berlaku,aktif,1648,2,drug_name_category_lookup.csv,INSULIN,curated_rule
DKL0433306910A1,DKL0433306910A1,LEVOBEN,LEVODOPA. BENSERAZIDE HYDROCHLORIDE,LEVODOPA. BENSERAZIDE HYDROCHLORIDE,['LEVODOPA. BENSERAZIDE HYDROCHLORIDE'],1,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Obat Keras - Lokal,Obat Keras,1,1,"TABLET; 100 mg /29,93 mg",tablet,oral,"DUS, 3 STRIP @ 10 TABLET",MERSIFARMA TIRMAKU MERCUSANA - Indonesia,MERSIFARMA TIRMAKU MERCUSANA,Indonesia,2023-09-15,2027-12-17,Berlaku,aktif,560,1,drug_name_category_lookup.csv,BENSERAZIDE | LEVODOPA,curated_rule
DKL0415617681A1,DKL0415617681A1,LEVOPAR,BENSERAZIDE HYDROCHLORIDE | LEVODOPA,BENSERAZIDE HYDROCHLORIDE | LEVODOPA,"['BENSERAZIDE HYDROCHLORIDE', 'LEVODOPA']",2,dopaminergik_parkinson,dopaminergik_parkinson,dopaminergik_parkinson,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET DISPERSIBLE,tablet,oral,"DUS, 10 STRIP @ 10 TABLET DISPERSIBLE",MEPROFARM - Indonesia,MEPROFARM,Indonesia,2025-12-23,2030-07-09,Berlaku,aktif,1495,1,drug_name_category_lookup.csv,BENSERAZIDE | LEVODOPA,curated_rule
DKL9730904429A1,DKL9730904429A1,LEXACORTON,HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE,['HYDROCORTISONE ACETATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 5 G",MOLEX AYUS - Indonesia,MOLEX AYUS,Indonesia,2025-09-30,2030-09-05,Berlaku,aktif,1553,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
DKL1231533010A1,DKL1231533010A1,LUPRED,PREDNISOLONE,PREDNISOLONE,['PREDNISOLONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 3 STRIP @ 10 TABLET",PRATAPA NIRMALA - Indonesia,PRATAPA NIRMALA,Indonesia,2026-02-07,2031-02-07,Berlaku,aktif,1708,1,drug_name_category_lookup.csv,PREDNISOLONE,curated_rule
DKI2262800149A1,DKI2262800149A1,MAXIGESIC IV,IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL,IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL,['IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL'],1,nsaid,nsaid,nsaid,1,Obat Keras - Impor,Obat Keras,1,1,CAIRAN UNTUK INFUS; 385 mg /1000 mg,infus,parenteral,"DUS, 10 VIAL @ 100 ML",DANKOS FARMA - Indonesia,DANKOS FARMA,Indonesia,2022-03-10,2027-03-10,Berlaku,aktif,278,1,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DKL2428212209A1,DKL2428212209A1,MAXSIMET,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE,"['METFORMIN HYDROCHLORIDE', 'SITAGLIPTIN PHOSPHATE']",2,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 3 BLISTER @ 10 KAPLET SALUT SELAPUT",SIMEX PHARMACEUTICAL INDONESIA - Indonesia,SIMEX PHARMACEUTICAL INDONESIA,Indonesia,2025-12-31,2030-12-31,Berlaku,aktif,1670,1,drug_name_category_lookup.csv,METFORMIN | SITAGLIPTIN,curated_rule
DKL0233505337A1,DKL0233505337A1,MECLOVEL,BETAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,BETAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,"['BETAMETHASONE', 'DEXCHLORPHENIRAMINE MALEATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SIRUP,sirup,oral,"DUS, 1 BOTOL @ 60 ML",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2026-05-02,2031-03-08,Berlaku,aktif,1737,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
DKL0605042344A1,DKL0605042344A1,MEDIXON,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE,METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE,['METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,SERBUK INJEKSI LIOFILISASI,injeksi,parenteral,"DUS, 1 VIAL @ 125 MG + 1 AMPUL PELARUT @ 2 ML",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2026-02-26,2031-02-26,Berlaku,aktif,1727,1,drug_name_category_lookup.csv,METHYLPREDNISOLONE,curated_rule
DTL2615209028A1,DTL2615209028A1,MESADEN,PIROXICAM,PIROXICAM,['PIROXICAM'],1,nsaid,nsaid,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,GEL,gel,topikal,"DUS, 1 TUBE @ 15 GRAM",MEGA ESA FARMA - Indonesia,MEGA ESA FARMA,Indonesia,2026-02-23,2031-02-23,Berlaku,aktif,1724,1,drug_name_category_lookup.csv,PIROXICAM,curated_rule
GKL9805024917A1,GKL9805024917A1,METFORMIN HCL,KOMBINASI-METFORMIN HCL GRANULES DC 95,METFORMIN HCL GRANULES DC 95,['METFORMIN HCL GRANULES DC 95'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 10 STRIP @ 10 TABLET SALUT SELAPUT",DEXA MEDICA - Indonesia,DEXA MEDICA,Indonesia,2025-02-05,2029-12-28,Berlaku,aktif,1302,1,drug_name_category_lookup.csv,METFORMIN,curated_rule
GKL2534016917A1,GKL2534016917A1,METFORMIN HYDROCHLORIDE,KOMBINASI-METFORMIN HYDROCHLORIDE DC GRANULES 90,METFORMIN HYDROCHLORIDE DC GRANULES 90,['METFORMIN HYDROCHLORIDE DC GRANULES 90'],1,antidiabetes,antidiabetes,antidiabetes,1,Obat Generik Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 10 STRIP @ 10 TABLET SALUT SELAPUT",NOVAPHARIN - Indonesia,NOVAPHARIN,Indonesia,2025-07-04,2030-07-04,Berlaku,aktif,1490,1,drug_name_category_lookup.csv,METFORMIN,curated_rule
GKL2044300743A1,GKL2044300743A1,METHOTREXATE,METHOTREXATE,METHOTREXATE,['METHOTREXATE'],1,imunosupresan,imunosupresan,imunosupresan,1,Obat Generik Keras - Lokal,Obat Keras,1,1,INJEKSI,injeksi,parenteral,"DUS, 1 VIAL @ 2 ML",GLOBAL ONKOLAB FARMA - Indonesia,GLOBAL ONKOLAB FARMA,Indonesia,2025-05-21,2030-05-21,Berlaku,aktif,1446,1,drug_name_category_lookup.csv,METHOTREXATE,curated_rule
GKL1413708144A1,GKL1413708144A1,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,['METHYLPREDNISOLONE SODIUM SUCCINATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,SERBUK INJEKSI + PELARUT,injeksi,parenteral,"DUS, 10 VIAL @ 125 MG + 10 AMPUL @ 2 ML PELARUT ;; DUS, 1 VIAL @ 125 MG + 1 AMPUL @ 2 ML PELARUT",MAHAKAM BETA FARMA - Indonesia,MAHAKAM BETA FARMA,Indonesia,2025-06-20,2030-06-20,Berlaku,aktif,1476,2,drug_name_category_lookup.csv,METHYLPREDNISOLONE,curated_rule
DKL2413326009A1,DKL2413326009A1,METSIT,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE MONOHYDRATE,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE MONOHYDRATE,"['METFORMIN HYDROCHLORIDE', 'SITAGLIPTIN PHOSPHATE MONOHYDRATE']",2,antidiabetes,antidiabetes,antidiabetes,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 3 BLISTER @ 10 KAPLET SALUT SELAPUT",LAPI LABORATORIES - Indonesia,LAPI LABORATORIES,Indonesia,2025-09-30,2030-09-30,Berlaku,aktif,1578,1,drug_name_category_lookup.csv,METFORMIN | SITAGLIPTIN,curated_rule
DKL1823414837A1,DKL1823414837A1,MEXON,DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,['DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"SIRUP; 0,50 MG /2 MG",sirup,oral,"DUS, 1 BOTOL @ 60 ML",SAMPHARINDO PERDANA - Indonesia,SAMPHARINDO PERDANA,Indonesia,2024-09-19,2029-09-18,Berlaku,aktif,1201,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKI2055200110A1,DKI2055200110A1,MICARDIS PLUS,TELMISARTAN. HYDROCHLOROTHIAZIDE,TELMISARTAN. HYDROCHLOROTHIAZIDE,['TELMISARTAN. HYDROCHLOROTHIAZIDE'],1,ace_arb,ace_arb,ace_arb,1,Obat Keras - Impor,Obat Keras,1,1,TABLET; 40 MG /12.5 MG,tablet,oral,"DUS, 2 ALU-BLISTER @ 10 TABLET",BOEHRINGER INGELHEIM INDONESIA - Indonesia,BOEHRINGER INGELHEIM INDONESIA,Indonesia,2022-09-24,2025-04-15,Berlaku,kedaluwarsa,-416,1,drug_name_category_lookup.csv,TELMISARTAN,curated_rule
DKI2455200410A1,DKI2455200410A1,MICARDIS PLUS,HYDROCHLOROTHIAZIDE | TELMISARTAN,HYDROCHLOROTHIAZIDE | TELMISARTAN,"['HYDROCHLOROTHIAZIDE', 'TELMISARTAN']",2,ace_arb,ace_arb,ace_arb,1,Obat Keras - Impor,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 2 ALU-BLISTER @ 10 TABLET",TUNGGAL IDAMAN ABDI - Indonesia,TUNGGAL IDAMAN ABDI,Indonesia,2025-03-15,2030-03-15,Berlaku,aktif,1379,1,drug_name_category_lookup.csv,TELMISARTAN,curated_rule
DKL1833541417A1,DKL1833541417A1,MIGRATOP,TOPIRAMATE,TOPIRAMATE,['TOPIRAMATE'],1,antikonvulsan,antikonvulsan,antikonvulsan,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT SELAPUT,tablet,oral,"DUS, 6 STRIP @ 10 TABLET SALUT SELAPUT",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-09-12,2030-05-08,Berlaku,aktif,1433,1,drug_name_category_lookup.csv,TOPIRAMATE,curated_rule
DKL8506302509A1,DKL8506302509A1,MIXALGIN,METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE,METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE,['METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE'],1,xantin,xantin,xantin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT; 500 MG /50 MG /10 MG /10 MCG /50 MG,kaplet,oral,"DUS, 10 STRIP @ 10 KAPLET SALUT SELAPUT",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2022-07-22,2027-07-22,Berlaku,aktif,412,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKL9730903210B1,DKL9730903210B1,"MOLACORT 0,5",DEXAMETHASONE,DEXAMETHASONE,['DEXAMETHASONE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET,tablet,oral,"DUS, 10 STRIP @ 10 TABLET ;; DUS,10 STRIP @ 10 TABLET",MOLEX AYUS - Indonesia,MOLEX AYUS,Indonesia,2026-04-30,2031-04-30,Berlaku,aktif,1790,2,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DKL2330914749A1,DKL2330914749A1,MOLAFLOX,LEVOFLOXACIN HEMIHYDRATE,LEVOFLOXACIN HEMIHYDRATE,['LEVOFLOXACIN HEMIHYDRATE'],1,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,1,Obat Keras - Lokal,Obat Keras,1,1,INFUS,infus,parenteral,DUS. 1 BOTOL @ 100 ML,MOLEX AYUS - Indonesia,MOLEX AYUS,Indonesia,2026-04-15,2031-04-15,Berlaku,aktif,1775,1,drug_name_category_lookup.csv,LEVOFLOXACIN,curated_rule
GKL2617635829A1,GKL2617635829A1,MOMETASONE FUROATE,MOMETASONE FUROATE,MOMETASONE FUROATE,['MOMETASONE FUROATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Generik Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 10 GRAM",INTERBAT - Indonesia,INTERBAT,Indonesia,2026-04-20,2031-04-20,Berlaku,aktif,1780,1,drug_name_category_lookup.csv,MOMETASONE,curated_rule
DKL1441001129A1,DKL1441001129A1,MORVALE,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,['BETAMETHASONE VALERATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 10 G",IMMORTAL PHARMACEUTICAL LABORATORIES - Indonesia,IMMORTAL PHARMACEUTICAL LABORATORIES,Indonesia,2025-11-23,2030-10-26,Berlaku,aktif,1604,1,drug_name_category_lookup.csv,BETAMETHASONE,curated_rule
GKL2640818149A1,GKL2640818149A1,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,['MOXIFLOXACIN HYDROCHLORIDE'],1,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,1,Obat Generik Keras - Lokal,Obat Keras,1,1,INFUS,infus,parenteral,"DUS, 1 BOTOL @ 250 ML",INFION - Indonesia,INFION,Indonesia,2026-02-14,2031-02-14,Berlaku,aktif,1715,1,drug_name_category_lookup.csv,MOXIFLOXACIN,curated_rule
DKI2121001315A1,DKI2121001315A1,MYFORTIC,MYCOPHENOLATE SODIUM,MYCOPHENOLATE SODIUM,['MYCOPHENOLATE SODIUM'],1,imunosupresan,imunosupresan,imunosupresan,1,Obat Keras - Impor,Obat Keras,1,1,TABLET SALUT ENTERIK,tablet,oral,"DUS, 5 BLISTER @ 10 TABLET SALUT ENTERIK",NOVARTIS INDONESIA - Indonesia,NOVARTIS INDONESIA,Indonesia,2026-03-18,2031-03-18,Berlaku,aktif,1747,1,drug_name_category_lookup.csv,MYCOPHENOLATE,curated_rule
DKI2526101356A1,DKI2526101356A1,NASEHALER,MOMETASONE FUROATE MONOHYDRATE,MOMETASONE FUROATE MONOHYDRATE,['MOMETASONE FUROATE MONOHYDRATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Impor,Obat Keras,1,1,SEMPROT HIDUNG,lainnya,lainnya,"DUS, 1 BOTOL PLASTIK @ 140 DOSIS TERUKUR",SANBE FARMA - Indonesia,SANBE FARMA,Indonesia,2025-01-16,2030-01-16,Berlaku,aktif,1321,1,drug_name_category_lookup.csv,MOMETASONE,curated_rule
DKI1768601614A1,DKI1768601614A1,NATEXAM,INDAPAMIDE. AMLODIPINE BESILATE,INDAPAMIDE. AMLODIPINE BESILATE,['INDAPAMIDE. AMLODIPINE BESILATE'],1,ccb,ccb,ccb,1,Obat Keras - Impor,Obat Keras,1,1,TABLET PELEPASAN LAMBAT; 1.5 MG /6.935 MG,tablet,oral,"DUS, 6 BLISTER @ 5 TABLET PELEPASAN LAMBAT",DARYA-VARIA LABORATORIA TBK - Indonesia,DARYA-VARIA LABORATORIA TBK,Indonesia,2022-07-11,2027-07-11,Berlaku,aktif,401,1,drug_name_category_lookup.csv,AMLODIPINE,curated_rule
DKL9907913446A1,DKL9907913446A1,NELYDEX,DEXAMETHASONE SODIUM PHOSPHATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,DEXAMETHASONE SODIUM PHOSPHATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,['DEXAMETHASONE SODIUM PHOSPHATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"TETES MATA; 1,316 MG /0,776 MG /5,050 MG",tetes,mata,"DUS, 1 BOTOL PLASTIK @ 5 ML",HARSEN LABORATORIES - Indonesia,HARSEN LABORATORIES,Indonesia,2020-03-25,2024-06-27,Berlaku,kedaluwarsa,-708,1,drug_name_category_lookup.csv,DEXAMETHASONE,curated_rule
DTL8606302804A1,DTL8606302804A1,NEO REMAT,IBUPROFEN. PARACETAMOL,IBUPROFEN. PARACETAMOL,['IBUPROFEN. PARACETAMOL'],1,nsaid,nsaid,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,KAPLET; 200 MG /350 MG,kaplet,oral,"DUS, 10 AMPLOP @ 1 STRIP @ 10 KAPLET",ERLANGGA EDI LABORATORIES (ERELA) - Indonesia,ERLANGGA EDI LABORATORIES (ERELA),Indonesia,2024-02-18,2028-03-04,Berlaku,aktif,638,1,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DTL0322717909A1,DTL0322717909A1,NEO RHEUMACYL NEURO,CYANOCOBALAMIN | IBUPROFEN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,CYANOCOBALAMIN | IBUPROFEN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,"['CYANOCOBALAMIN', 'IBUPROFEN', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE MONONITRATE']",4,nsaid,nsaid,nsaid,1,Obat Bebas Terbatas - Lokal,Obat Bebas Terbatas,0,0,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 12 AMPLOP @ 1 BLISTER @ 10 KAPLET SALUT SELAPUT ;; AMPLOP @ 1 BLISTER @ 10 KAPLET SALUT SELAPUT",TEMPO SCAN PACIFIC Tbk - Indonesia,TEMPO SCAN PACIFIC Tbk,Indonesia,2025-11-27,2030-11-27,Berlaku,aktif,1636,2,drug_name_category_lookup.csv,IBUPROFEN,curated_rule
DKL2511648309A1,DKL2511648309A1,NEURALGIN RX,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE HYDROCHLORIDE,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE HYDROCHLORIDE,"['CAFFEINE', 'CYANOCOBALAMIN', 'METAMIZOLE SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE HYDROCHLORIDE']",5,xantin,xantin,xantin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPLET SALUT SELAPUT,kaplet,oral,"DUS, 10 BLISTER @ 10 KAPLET SALUT SELAPUT",KALBE FARMA - Indonesia,KALBE FARMA,Indonesia,2025-05-14,2030-05-14,Berlaku,aktif,1439,1,drug_name_category_lookup.csv,CAFFEINE,curated_rule
DKL0615807815A1,DKL0615807815A1,NEUROFENAC PLUS,CYANOCOBALAMIN | DICLOFENAC SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,CYANOCOBALAMIN | DICLOFENAC SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,"['CYANOCOBALAMIN', 'DICLOFENAC SODIUM', 'PYRIDOXINE HYDROCHLORIDE', 'THIAMINE MONONITRATE']",4,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,TABLET SALUT ENTERIK,tablet,oral,"DUS, 10 BLISTER @ 10 TABLET SALUT ENTERIK ;; DUS, 3 BLISTER @ 10 TABLET SALUT ENTERIK",MERCK TBK - Indonesia,MERCK TBK,Indonesia,2025-03-16,2030-03-16,Berlaku,aktif,1380,2,drug_name_category_lookup.csv,DICLOFENAC,curated_rule
DKI1435301001A1,DKI1435301001A1,NIFTEN,NIFEDIPINE. ATENOLOL,NIFEDIPINE. ATENOLOL,['NIFEDIPINE. ATENOLOL'],1,ccb,ccb,ccb,1,Obat Keras - Impor,Obat Keras,1,1,KAPSUL; 20 MG /50 MG,kapsul,oral,"DUS, 2 BLISTER @ 14 KAPSUL",ASTRAZENECA INDONESIA - Indonesia,ASTRAZENECA INDONESIA,Indonesia,2019-09-28,2024-09-28,Berlaku,kedaluwarsa,-615,1,drug_name_category_lookup.csv,NIFEDIPINE,curated_rule
DKL9409309601B1,DKL9409309601B1,NOMIKA 100,MINOCYCLINE HYDROCHLORIDE,MINOCYCLINE HYDROCHLORIDE,['MINOCYCLINE HYDROCHLORIDE'],1,antibiotik_tetrasiklin,antibiotik_tetrasiklin,antibiotik_tetrasiklin,1,Obat Keras - Lokal,Obat Keras,1,1,KAPSUL,kapsul,oral,"DUS, 10 STRIP @ 10 KAPSUL",IKAPHARMINDO PUTRAMAS Tbk. - Indonesia,IKAPHARMINDO PUTRAMAS Tbk.,Indonesia,2025-05-23,2027-06-02,Berlaku,aktif,362,1,drug_name_category_lookup.csv,MINOCYCLINE,curated_rule
DKL1333528301A1,DKL1333528301A1,NOVEXIB,CELECOXIB,CELECOXIB,['CELECOXIB'],1,nsaid,nsaid,nsaid,1,Obat Keras - Lokal,Obat Keras,1,1,KAPSUL,kapsul,oral,"DUS, 3 STRIP @ 10 KAPSUL",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2025-12-21,2030-12-21,Berlaku,aktif,1660,1,drug_name_category_lookup.csv,CELECOXIB,curated_rule
DKL2233555630A1,DKL2233555630A1,NOVOVENT-S,BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT,BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT,['BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT'],1,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,"SALEP; 10 mg /1,250 mg /7,5 mg /0,5 mg /0,1 mg",salep,topikal,"DUS, 1 TUBE @ 15 GRAM",NOVELL PHARMACEUTICAL LABORATORIES - Indonesia,NOVELL PHARMACEUTICAL LABORATORIES,Indonesia,2022-11-02,2027-11-02,Berlaku,aktif,515,1,drug_name_category_lookup.csv,PREDNISOLONE,curated_rule
DKL2043005729A1,DKL2043005729A1,NUCORT,HYDROCORTISONE | MICONAZOLE NITRATE,HYDROCORTISONE | MICONAZOLE NITRATE,"['HYDROCORTISONE', 'MICONAZOLE NITRATE']",2,kortikosteroid,kortikosteroid,kortikosteroid,1,Obat Keras - Lokal,Obat Keras,1,1,KRIM,krim,topikal,"DUS, 1 TUBE @ 5 G",NULAB PHARMACEUTICAL INDONESIA - Indonesia,NULAB PHARMACEUTICAL INDONESIA,Indonesia,2025-05-09,2030-04-22,Berlaku,aktif,1417,1,drug_name_category_lookup.csv,HYDROCORTISONE,curated_rule
