backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKI2460500217A1,TRAJENTA DUO,LINAGLIPTIN | METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI1352503017A1,TRAJENTA DUO,LINAGLIPTIN. METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,"TABLET SALUT SELAPUT; 2,5 mg /500 MG",oral,aktif,1,1
DKI2575705167B1,TRELEGY ELLIPTA,FLUTICASONE FUROATE | UMECLIDINIUM BROMIDE | VILANTEROL TRIFENATATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INHALER,oral,aktif,1,1
DKI2132300643A2,TRESIBA,INSULIN DEGLUDEC,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI,parenteral,aktif,1,1
GKL1205047010A1,TRIAMCINOLONE,TRIAMCINOLONE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
DKI2131600817A1,TRIPLIXAM,AMLODIPINE BESILATE | INDAPAMIDE | PERINDOPRIL ARGININE,ccb,ccb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2424200910A1,TWYNSTA,AMLODIPINE BESILATE | TELMISARTAN,ace_arb,ace_arb|ccb,Obat Keras,1,TABLET,oral,aktif,2,1
DKI1701700417A1,UPERIO,"SACUBITRIL VALSARTAN SODIUM HYDRATE 56.551 MG  SACUBITRIL 24,3 MG DAN VALSARTAN 25,7 MG",ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI1701700417C1,UPERIO,"SACUBITRIL VALSARTAN SODIUM HYDRATE 226.206 MG  SACUBITRIL 97,2 MG DAN VALSARTAN 102,8 MG",ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI1701700417B1,UPERIO,"SACUBITRIL VALSARTAN SODIUM HYDRATE 113.103 MG  SACUBITRIL 48,6 MG DAN VALSARTAN 51,4 MG",ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL2044401817B1,VALSARTAN,VALSARTAN,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL9207802429A1,VANQUIN PLUS,CHLORAMPHENICOL | HYDROCORTISONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKI1953000309A1,VARDIPIN 5/160,VALSARTAN. AMLODIPINE BESILATE,ace_arb,ace_arb|ccb,Obat Keras,1,"KAPLET SALUT SELAPUT; 160 MG /6,94 MG",oral,aktif,2,1
DKL1121635129A1,VASLONE,HYDROCORTISONE. MICONAZOLE NITRATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 10 MG /20 MG,topikal,aktif,1,1
DKL1433531509A1,VELACOM PLUS 1/250,GLIMEPIRIDE | METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL7822251529A1,VISANCORT,CAMPHOR. CLIOQUINOL. HYDROCORTISONE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 10 MG /10 MG /10 MG,topikal,kedaluwarsa,1,1
DKL9930409514B1,VOLTAREN SR 75,DICLOFENAC SODIUM,nsaid,nsaid,Obat Keras,1,TABLET PELEPASAN LAMBAT,oral,aktif,1,1
DKL2231549510A1,VOLTERI,CANDESARTAN CILEXETIL. AMLODIPINE BESILATE,ace_arb,ace_arb|ccb,Obat Keras,1,"TABLET; 8 MG /6,93 MG",oral,aktif,2,1
LKE18066181,VYTORIN,EZETIMIBE | SIMVASTATIN,statin,statin,Khusus Ekspor,0,TABLET,oral,aktif,1,1
DKL2409504917B1,XALIQUIS 2.5,APIXABAN 2.5 MG,antikoagulan,antikoagulan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL2409504917A1,XALIQUIS 5,APIXABAN 5 MG,antikoagulan,antikoagulan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2527900214A1,XIGDUO XR,DAPAGLIFLOZIN PROPANEDIOL | METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT PELEPASAN LAMBAT,oral,aktif,1,1
DKI1827900217A1,XIGDUO XR,DAPAGLIFLOZIN PROPANEDIOL. METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,"TABLET SALUT SELAPUT; 6,150 MG /502.61 MG",oral,aktif,1,1
DKL9513011046A1,XIMEX OPTIXITROL,NEOMYCIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE. POLYMYXIN B SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA; - MG /- MG /6000 IU,mata,aktif,1,1
DKI1405100217A1,ZANIDIP,LERCANIDIPINE HYDROCHLORIDE,ccb,ccb,Obat Keras,1,TABLET SALUT SELAPUT; 10 mg,oral,aktif,1,1
DKL2609228929A1,ZILINEX,MICONAZOLE NITRATE | NEOMYCIN SULFATE | TRIAMCINOLONE ACETONIDE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL0410707429A1,ZOLACORT,HYDROCORTISONE ACETATE | MICONAZOLE NITRATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
