backend_drug_id,nama_produk,komposisi_normalized,drug_category,all_drug_categories,golongan_obat,perlu_resep,bentuk_sediaan,rute_penggunaan_hint,status_masa_berlaku,category_count,all_categories_supported
DKL1633313637A1,DEPVAL,VALPROIC ACID,antikonvulsan,antikonvulsan,Obat Keras,1,SIRUP,oral,aktif,1,1
DKL9604120641A1,DERMACOID,HYDROCORTISONE BUTYRATE,kortikosteroid,kortikosteroid,Obat Keras,1,SCALP LOTION,topikal,aktif,1,1
GKL2109325143A1,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
LKE26136016,DEXAMINE,DEXAMETHASONE SODIUM PHOSPHATE | DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,SIRUP,oral,aktif,1,1
DKL7603810146A1,DEXATON,DEXAMETHASONE SODIUM PHOSPHATE | NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA,mata,aktif,1,1
DKL9419914637A1,DEXTAMINE,DEXAMETHASONE SODIUM PHOSPHATE. DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Obat Keras,1,SIRUP; 2 mg,oral,aktif,1,1
DKI2254801617B1,DIAGLIFOZ,DAPAGLIFLOZIN PREMIX,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 50 MG,oral,aktif,1,1
DKI2154801117A1,DIAGLIFOZMET XR,DAPAGLIFLOZIN PREMIX. METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 25 MG /500 MG,oral,aktif,1,1
GKL2431551401A1,DICLOFENAC ACID,DICLOFENAC ACID,nsaid,nsaid,Obat Keras,1,KAPSUL,oral,aktif,1,1
GKL1114812317A1,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,nsaid,nsaid,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL9005007310A1,DILTIAZEM HCL,DILTIAZEM HYDROCHLORIDE,ccb,ccb,Obat Keras,1,TABLET,oral,aktif,1,1
DKL7606605530A1,DIPROGENTA,BETAMETHASONE DIPROPIONATE | GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP,topikal,aktif,1,1
LKE13066122,DIPROGENTA,GENTAMICIN SULFATE. BETAMETHASONE DIPROPIONATE. BETAMETHASONE DIPROPIONATE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,"KRIM; 0,05 % /0,1 % /0.64 mg /1.7 MG",topikal,kedaluwarsa,1,1
LKE14066160,DIPROSALIC,BETAMETHASONE DIPROPIONATE | SALICYLIC ACID,kortikosteroid,kortikosteroid,Khusus Ekspor,0,SALEP,topikal,aktif,1,1
DKL9106602330A1,DIPROSALIC,SALICYLIC ACID. BETAMETHASONE DIPROPIONATE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP,topikal,aktif,1,1
LKE20066196,DIPROSONE,BETAMETHASONE DIPROPIONATE,kortikosteroid,kortikosteroid,Khusus Ekspor,0,SALEP,topikal,aktif,1,1
DKL1605053143A1,DIVITI,FONDAPARINUX SODIUM,antikoagulan,antikoagulan,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
LKE12055028,DOXYCYCLINE,DOXYCYCLINE MONOHYDRATE,antibiotik_tetrasiklin,antibiotik_tetrasiklin,Khusus Ekspor,0,TABLET; 104.10 MG,oral,aktif,1,1
DKI1504000148A1,DUOXAL,CIPROFLOXACIN HYDROCHLORIDE MONOHYDRATE. FLUOCINOLONE ACETONIDE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,TETES TELINGA; 3.49 MG /0.25 MG,telinga,kedaluwarsa,1,1
DKL2142801529A1,ECONAZINE,ECONAZOLE NITRATE | TRIAMCINOLONE ACETONIDE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL2634617717A1,EMPAFER,EMPAGLIFLOZIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2297301367A1,ENERZAIR BREEZHALER,GLYCOPYRRONIUM BROMIDE | INDACATEROL ACETATE | MOMETASONE FUROATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INHALER,oral,aktif,1,1
GKL2431551617A1,EPLERENONE,EPLERENONE,diuretik_hemat_kalium,diuretik_hemat_kalium,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL2206321448A1,ERFLOX,OFLOXACIN,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,TETES TELINGA,telinga,aktif,1,1
DKL0122717510A1,ERICAF,CAFFEINE | ERGOTAMINE TARTRATE,xantin,xantin,Obat Keras,1,TABLET,oral,aktif,1,1
DKL7206316229A1,ERLA NEO HYDROCORT,HYDROCORTISONE ACETATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 10 MG /5 MG,topikal,aktif,1,1
DKL2106320829A1,ERLADERM-G,BETAMETHASONE VALERATE | GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL0406311646A1,ERLAMYCETIN PLUS,CHLORAMPHENICOL. DEXAMETHASONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA; 5 MG /1 MG,mata,kedaluwarsa,1,1
DBL2511704410A1,ESEPULUH,CAFFEINE ANHYDROUS | PARACETAMOL,xantin,xantin,Obat Bebas,0,TABLET,oral,aktif,1,1
DKI2163401910B1,EUTHYROX,LEVOTHYROXINE SODIUM,tiroid,tiroid,Obat Keras,1,TABLET,oral,aktif,1,1
LKE20227016,EXADON,PARACETAMOL. CAFFEINE,xantin,xantin,Khusus Ekspor,0,KAPLET,oral,aktif,1,1
DKI2601700617C1,EXFORGE 10/160,AMLODIPINE BESILATE | VALSARTAN,ace_arb,ace_arb|ccb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,2,1
DKI2570600143A1,EZ RAPID,INSULIN ASPART,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI,parenteral,aktif,1,1
DKL1907923604A1,EZETATIN,SIMVASTATIN. EZETIMIBE,statin,statin,Obat Keras,1,KAPLET; 20 mg /10 MG,oral,kedaluwarsa,1,1
DKL8831500510A1,FARGOXIN,DIGOXIN,glikosida_jantung,glikosida_jantung,Obat Keras,1,"TABLET; 0,25 MG",oral,aktif,1,1
DKL8831500314A1,FARMALAT ER,NIFEDIPINE,ccb,ccb,Obat Keras,1,TABLET PELEPASAN LAMBAT; 10 MG,oral,aktif,1,1
DKL1931544110A1,FARTISON,HYDROCORTISONE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
DKL0617621553A1,FETIK,KETOPROFEN,nsaid,nsaid,Obat Keras,1,SUPPOSITORIA,rektal/vaginal,aktif,1,1
DKL9807105704A1,FIMEDIAB,GLIBENCLAMIDE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET,oral,aktif,1,1
DKI1585100739A1,FLIXOTIDE,FLUTICASONE PROPIONATE,kortikosteroid,kortikosteroid,Obat Keras,1,AEROSOL,lainnya,aktif,1,1
DKI1026100375B1,FLUTIAS 125,FLUTICASONE PROPIONATE | SALMETEROL XINAFOATE,kortikosteroid,kortikosteroid,Obat Keras,1,INHALER (PADAT),inhalasi,aktif,1,1
DKI2500400456A1,FLUTIC AZ,AZELASTINE HYDROCHLORIDE | FLUTICASONE PROPIONATE,kortikosteroid,kortikosteroid,Obat Keras,1,SEMPROT HIDUNG,lainnya,aktif,1,1
DKL2532410109A1,FORDICA PLUS 500/5,GLIBENCLAMIDE | METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKI1735301317A1,FORXIGA,DAPAGLIFLOZIN PROPANEDIOL,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 6.150  mg,oral,aktif,1,1
DKL2333556139A1,FRIVENTIL,SALMETEROL XINAFOATE. FLUTICASONE PROPIONATE,kortikosteroid,kortikosteroid,Obat Keras,1,"AEROSOL; 36,321 MCG /50 mcg",lainnya,aktif,1,1
DKI1414600129A1,FUCICORT,FUSIDIC ACID. BETAMETHASONE VALERATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 20 MG /1.214 MG,topikal,aktif,1,1
DKL2517634829A1,FUSIBAT BV,BETAMETHASONE VALERATE | FUSIDIC ACID,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL2042801129A1,FUSIDASOL,BETAMETHASONE DIPROPIONATE | FUSIDIC ACID,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
GKL2202508001A1,GABAPENTIN,GABAPENTIN,antikonvulsan,antikonvulsan,Obat Keras,1,KAPSUL,oral,aktif,1,1
DKL0203809146A1,GENTASON B,BETAMETHASONE SODIUM PHOSPHATE. GENTAMICIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"TETES MATA; 1,00 MG /3,00 MG",mata,aktif,1,1
GKL2102363910A1,GLICLAZIDE,GLICLAZIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET,oral,aktif,1,1
GKL1413319304B1,GLIMEPIRIDE,GLIMEPIRIDE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET,oral,aktif,1,1
DKL2633532701B1,GLINOV,PREGABALIN,antikonvulsan,antikonvulsan,Obat Keras,1,KAPSUL,oral,aktif,1,1
LKE14055071,GLIPIZIDE,GLIPIZIDE,antidiabetes,antidiabetes,Khusus Ekspor,0,TABLET,oral,aktif,1,1
DKL1134609210A1,GLUBOSE,ACARBOSE,antidiabetes,antidiabetes,Obat Keras,1,TABLET,oral,aktif,1,1
DKL1915809314A1,GLUCOPHAGE XR,METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET PELEPASAN LAMBAT,oral,aktif,1,1
DKL1715809217C1,GLUCOVANCE,METFORMIN HYDROCHLORIDE. GLIBENCLAMIDE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL1715719209B1,GLUCOVEL 2,GLIMEPIRIDE. METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET SALUT SELAPUT; 2 MG /500 MG,oral,aktif,1,1
DKL2518835817B1,GLUSITIN 100,SITAGLIPTIN PHOSPHATE,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL2005063417A1,GLUVAS M,GLIMEPIRIDE. KOMBINASI-METFORMIN HCL GRANULES DC 95,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 2 MG /526.3 MG,oral,aktif,1,1
DKI2424200717A1,GLYXAMBI,EMPAGLIFLOZIN | LINAGLIPTIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2124200517A1,GLYXAMBI,EMPAGLIFLOZIN. LINAGLIPTIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT; 10 MG /5 MG,oral,aktif,1,1
DKL9508003117A1,GOFLEX,NABUMETONE,nsaid,nsaid,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL1727806330A1,HAEMOCAINE,LIDOCAINE HYDROCHLORIDE. HYDROCORTISONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP; 50 MG /2,5 MG",topikal,aktif,1,1
DKL9913018929A1,HELTISKIN,CLOTRIMAZOLE. BETAMETHASONE DIPROPIONATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
GKL2133551643A1,HEPARIN SODIUM,HEPARIN SODIUM,antikoagulan,antikoagulan,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
DTL2526204528A1,HOTIN DCL ZERO,DICLOFENAC DIETHYLAMINE,nsaid,nsaid,Obat Bebas Terbatas,0,EMULGEL,topikal,aktif,1,1
DKI2488803343A1,HUMALOG KWIKPEN,INSULIN LISPRO,antidiabetes,antidiabetes,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
GKL2605070044A1,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE BUFFERED 5 STERILE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INJEKSI,parenteral,aktif,1,1
GKL2113323844A1,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INJEKSI,parenteral,aktif,1,1
DKL0305033810C1,HYPERIL,RAMIPRIL,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
LKE22066209,HYZAAR,LOSARTAN POTASSIUM. HYDROCHLOROTHIAZIDE,ace_arb,ace_arb,Khusus Ekspor,0,TABLET SALUT SELAPUT; 100.0 MG /12.50 MG,oral,aktif,1,1
GKL2405067943A1,IBUPROFEN SODIUM DIHYDRATE,IBUPROFEN SODIUM DIHYDRATE,nsaid,nsaid,Obat Keras,1,"INJEKSI; 128,12 MG",parenteral,aktif,1,1
DKL8511603717A1,IFEN 400,IBUPROFEN,nsaid,nsaid,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL2333549610B1,IMIDAPRIL HYDROCHLORIDE,IMIDAPRIL HYDROCHLORIDE,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
DKI2159300117A1,IMURAN,AZATHIOPRINE,imunosupresan,imunosupresan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL9802325410B1,INHITRIL,LISINOPRIL DIHYDRATE,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
DKL0117617246A1,INMATROL,POLYMYXIN B SULFATE. NEOMYCIN SULFATE. DEXAMETHASONE SODIUM PHOSPHATE,kortikosteroid,kortikosteroid,Obat Keras,1,"TETES MATA; 6000 IU /5,45 MG /1,46 MG",mata,aktif,1,1
DKL7817608801A1,INTERDOXIN 50,DOXYCYCLINE HYCLATE,antibiotik_tetrasiklin,antibiotik_tetrasiklin,Obat Keras,1,KAPSUL,oral,aktif,1,1
GKL2644410917A1,IRBESARTAN,IRBESARTAN,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL0609318804A1,IRTAN PLUS,HYDROCHLOROTHIAZIDE. IRBESARTAN,ace_arb,ace_arb,Obat Keras,1,"KAPLET; 12,5 mg /300 mg",oral,kedaluwarsa,1,1
DKL0200202717A1,ISOPTIN,VERAPAMIL HYDROCHLORIDE,ccb,ccb,Obat Keras,1,TABLET SALUT SELAPUT; 80 MG,oral,aktif,1,1
LKE17066176,JANUVIA,SITAGLIPTIN PHOSPHATE MONOHYDRATE,antidiabetes,antidiabetes,Khusus Ekspor,0,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2356100217B1,JARDIANCE DUO,EMPAGLIFLOZIN. METFORMIN HYDROCHLORIDE,antidiabetes,antidiabetes,Obat Keras,1,"TABLET SALUT SELAPUT; 12,5 MG /500 MG",oral,aktif,1,1
DKL0310804829A1,KEMIDERM,CHLORAMPHENICOL. HYDROCORTISONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM; 20 MG /25 MG,topikal,kedaluwarsa,1,1
DKL1124400130A1,KENALOG IN ORABASE,TRIAMCINOLONE ACETONIDE,kortikosteroid,kortikosteroid,Obat Keras,1,SALEP,topikal,aktif,1,1
DKL2640505643A1,KETOGESIC,KETOROLAC TROMETAMOL,nsaid,nsaid,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
GKL0502337743A1,KETOPROFEN LYSINE,KETOPROFEN LYSINE,nsaid,nsaid,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
DKL9730904629A1,KLORFESON,CHLORAMPHENICOL. PREDNISOLONE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 20 MG /2,5 MG",topikal,aktif,1,1
DKI2227900514A1,KOMBIGLYZE XR,METFORMIN BULK. SAXAGLIPTIN,antidiabetes,antidiabetes,Obat Keras,1,TABLET PELEPASAN LAMBAT; 1005 MG /5 MG,oral,aktif,1,1
DKL1328911529A1,KORASON N,BETAMETHASONE VALERATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 1,2 MG /5 MG",topikal,aktif,1,1
DKL1842200229A1,KRIM PI KANG SHUANG,MICONAZOLE NITRATE. NEOMYCIN SULFATE. TRIAMCINOLONE ACETONIDE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,"KRIM; 10 MG /4,6 MG /1 MG",topikal,aktif,1,1
DKL2532724010B1,LAMIDO,LAMOTRIGINE,antikonvulsan,antikonvulsan,Obat Keras,1,TABLET,oral,aktif,1,1
DKL2632720817B1,LEPSY,LEVETIRACETAM,antikonvulsan,antikonvulsan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI2318605317A1,LERREX,LERCANIDIPINE HYDROCHLORIDE HEMIHYDRATE,ccb,ccb,Obat Keras,1,"TABLET SALUT SELAPUT; 10,139 MG",oral,aktif,1,1
DKI2142000543A1,LEVEMIR,INSULIN DETEMIR,antidiabetes,antidiabetes,Obat Keras,1,LARUTAN INJEKSI,parenteral,aktif,1,1
DKL0433306910A1,LEVOBEN,LEVODOPA. BENSERAZIDE HYDROCHLORIDE,dopaminergik_parkinson,dopaminergik_parkinson,Obat Keras,1,"TABLET; 100 mg /29,93 mg",oral,aktif,1,1
DKL0415617681A1,LEVOPAR,BENSERAZIDE HYDROCHLORIDE | LEVODOPA,dopaminergik_parkinson,dopaminergik_parkinson,Obat Keras,1,TABLET DISPERSIBLE,oral,aktif,1,1
DKL9730904429A1,LEXACORTON,HYDROCORTISONE ACETATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL1231533010A1,LUPRED,PREDNISOLONE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
DKI2262800149A1,MAXIGESIC IV,IBUPROFEN SODIUM DIHYDRATE. PARACETAMOL,nsaid,nsaid,Obat Keras,1,CAIRAN UNTUK INFUS; 385 mg /1000 mg,parenteral,aktif,1,1
DKL2428212209A1,MAXSIMET,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL0233505337A1,MECLOVEL,BETAMETHASONE | DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Obat Keras,1,SIRUP,oral,aktif,1,1
DKL0605042344A1,MEDIXON,METHYLPREDNISOLONE SODIUM SUCCINATE BUFFERED 3 STERILE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INJEKSI LIOFILISASI,parenteral,aktif,1,1
DTL2615209028A1,MESADEN,PIROXICAM,nsaid,nsaid,Obat Bebas Terbatas,0,GEL,topikal,aktif,1,1
GKL9805024917A1,METFORMIN HCL,METFORMIN HCL GRANULES DC 95,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL2534016917A1,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE DC GRANULES 90,antidiabetes,antidiabetes,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
GKL2044300743A1,METHOTREXATE,METHOTREXATE,imunosupresan,imunosupresan,Obat Keras,1,INJEKSI,parenteral,aktif,1,1
GKL1413708144A1,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,kortikosteroid,kortikosteroid,Obat Keras,1,SERBUK INJEKSI + PELARUT,parenteral,aktif,1,1
DKL2413326009A1,METSIT,METFORMIN HYDROCHLORIDE | SITAGLIPTIN PHOSPHATE MONOHYDRATE,antidiabetes,antidiabetes,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL1823414837A1,MEXON,DEXAMETHASONE. DEXCHLORPHENIRAMINE MALEATE,kortikosteroid,kortikosteroid,Obat Keras,1,"SIRUP; 0,50 MG /2 MG",oral,aktif,1,1
DKI2055200110A1,MICARDIS PLUS,TELMISARTAN. HYDROCHLOROTHIAZIDE,ace_arb,ace_arb,Obat Keras,1,TABLET; 40 MG /12.5 MG,oral,kedaluwarsa,1,1
DKI2455200410A1,MICARDIS PLUS,HYDROCHLOROTHIAZIDE | TELMISARTAN,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
DKL1833541417A1,MIGRATOP,TOPIRAMATE,antikonvulsan,antikonvulsan,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKL8506302509A1,MIXALGIN,METAMIZOLE SODIUM. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN. CAFFEINE,xantin,xantin,Obat Keras,1,KAPLET SALUT SELAPUT; 500 MG /50 MG /10 MG /10 MCG /50 MG,oral,aktif,1,1
DKL9730903210B1,"MOLACORT 0,5",DEXAMETHASONE,kortikosteroid,kortikosteroid,Obat Keras,1,TABLET,oral,aktif,1,1
DKL2330914749A1,MOLAFLOX,LEVOFLOXACIN HEMIHYDRATE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,INFUS,parenteral,aktif,1,1
GKL2617635829A1,MOMETASONE FUROATE,MOMETASONE FUROATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL1441001129A1,MORVALE,BETAMETHASONE VALERATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
GKL2640818149A1,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,antibiotik_fluorokuinolon,antibiotik_fluorokuinolon,Obat Keras,1,INFUS,parenteral,aktif,1,1
DKI2121001315A1,MYFORTIC,MYCOPHENOLATE SODIUM,imunosupresan,imunosupresan,Obat Keras,1,TABLET SALUT ENTERIK,oral,aktif,1,1
DKI2526101356A1,NASEHALER,MOMETASONE FUROATE MONOHYDRATE,kortikosteroid,kortikosteroid,Obat Keras,1,SEMPROT HIDUNG,lainnya,aktif,1,1
DKI1768601614A1,NATEXAM,INDAPAMIDE. AMLODIPINE BESILATE,ccb,ccb,Obat Keras,1,TABLET PELEPASAN LAMBAT; 1.5 MG /6.935 MG,oral,aktif,1,1
DKL9907913446A1,NELYDEX,DEXAMETHASONE SODIUM PHOSPHATE. POLYMYXIN B SULFATE. NEOMYCIN SULFATE,kortikosteroid,kortikosteroid,Obat Keras,1,"TETES MATA; 1,316 MG /0,776 MG /5,050 MG",mata,kedaluwarsa,1,1
DTL8606302804A1,NEO REMAT,IBUPROFEN. PARACETAMOL,nsaid,nsaid,Obat Bebas Terbatas,0,KAPLET; 200 MG /350 MG,oral,aktif,1,1
DTL0322717909A1,NEO RHEUMACYL NEURO,CYANOCOBALAMIN | IBUPROFEN | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,nsaid,nsaid,Obat Bebas Terbatas,0,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL2511648309A1,NEURALGIN RX,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE HYDROCHLORIDE,xantin,xantin,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL0615807815A1,NEUROFENAC PLUS,CYANOCOBALAMIN | DICLOFENAC SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,nsaid,nsaid,Obat Keras,1,TABLET SALUT ENTERIK,oral,aktif,1,1
DKI1435301001A1,NIFTEN,NIFEDIPINE. ATENOLOL,ccb,ccb,Obat Keras,1,KAPSUL; 20 MG /50 MG,oral,kedaluwarsa,1,1
DKL9409309601B1,NOMIKA 100,MINOCYCLINE HYDROCHLORIDE,antibiotik_tetrasiklin,antibiotik_tetrasiklin,Obat Keras,1,KAPSUL,oral,aktif,1,1
DKL1333528301A1,NOVEXIB,CELECOXIB,nsaid,nsaid,Obat Keras,1,KAPSUL,oral,aktif,1,1
DKL2233555630A1,NOVOVENT-S,BENZOCAINE. CETRIMIDE. LIDOCAINE. PREDNISOLONE. LITHOSPERMI RADIX EXTRACT,kortikosteroid,kortikosteroid,Obat Keras,1,"SALEP; 10 mg /1,250 mg /7,5 mg /0,5 mg /0,1 mg",topikal,aktif,1,1
DKL2043005729A1,NUCORT,HYDROCORTISONE | MICONAZOLE NITRATE,kortikosteroid,kortikosteroid,Obat Keras,1,KRIM,topikal,aktif,1,1
DKL2543012309A1,NUGIN RX,CAFFEINE | CYANOCOBALAMIN | METAMIZOLE SODIUM | PYRIDOXINE HYDROCHLORIDE | THIAMINE MONONITRATE,xantin,xantin,Obat Keras,1,KAPLET SALUT SELAPUT,oral,aktif,1,1
DKL2018218410A1,NUZARTAN,TELMISARTAN GRANULE,ace_arb,ace_arb,Obat Keras,1,TABLET,oral,aktif,1,1
DBL2003400723A1,OBAT SAKIT KEPALA CAP PEDANG,ACETYLSALICYLIC ACID. PARACETAMOL. CAFFEINE,nsaid,nsaid|xantin,Obat Bebas,0,SERBUK; 400 MG /250 MG /50 MG,oral,kedaluwarsa,2,1
DTL2004703023A1,OBAT SAKIT KEPALA U55 EXTRA,PARACETAMOL. IBUPROFEN. CAFFEINE,nsaid,nsaid|xantin,Obat Bebas Terbatas,0,SERBUK; 350 MG /200 MG /50 MG,oral,aktif,2,1
DBL1704702923A1,OBAT SAKIT KEPALA UI,ACETYLSALICYLIC ACID. CAFFEINE. PARACETAMOL,nsaid,nsaid|xantin,Obat Bebas,0,SERBUK; 250 MG /50 MG /400 MG,oral,aktif,2,1
GKL2533558917A1,OLMESARTAN MEDOXOMIL,OLMESARTAN MEDOXOMIL,ace_arb,ace_arb,Obat Keras,1,TABLET SALUT SELAPUT,oral,aktif,1,1
DKI1949000217A1,OLODUO,ROSUVASTATIN CALCIUM. OLMESARTAN MEDOXOMIL,ace_arb,ace_arb|statin,Obat Keras,1,TABLET SALUT SELAPUT; 10.40 mg /20.00 MG,oral,kedaluwarsa,2,1
DKL2540001546A1,OPHTADEX,DEXAMETHASONE SODIUM PHOSPHATE | TOBRAMYCIN,kortikosteroid,kortikosteroid,Obat Keras,1,TETES MATA,mata,aktif,1,1
DTL1030705210A1,OSKADON EXTRA,IBUPROFEN. CAFFEINE. PARACETAMOL,nsaid,nsaid|xantin,Obat Bebas Terbatas,0,TABLET; 200 MG /50 MG /350 MG,oral,kedaluwarsa,2,1
DTL0830703910A1,OSKADON MIGRA,CAFFEINE  PARACETAMOL  PROPYPHENAZONE,xantin,xantin,Obat Bebas Terbatas,0,TABLET,oral,aktif,1,1
DTL2430710417A1,OSKADON SP NEURO,IBUPROFEN. THIAMINE MONONITRATE. PYRIDOXINE HYDROCHLORIDE. CYANOCOBALAMIN,nsaid,nsaid,Obat Bebas Terbatas,0,TABLET SALUT SELAPUT; 200 MG /50 MG /100 MG /100 MCG,oral,aktif,1,1
DKL1706318248A1,OTOZAMBON,NEOMYCIN SULFATE. BETAMETHASONE. POLYMYXIN B SULFATE. LIDOCAINE HYDROCHLORIDE,kortikosteroid,kortikosteroid,Obat Keras,1,TETES TELINGA; 3390 IU /1 MG /10000 IU /40 MG,telinga,aktif,1,1
